spec,source,period,period_group,occ,n,text_labeled_n,class_labeled_n,entry_final_share,yoe_le2_share,yoe_le3_share,junior_3level_share,mid_3level_share,senior_3level_share,unknown_3level_share,ai_tool_share,scope_any_share,analysis_text_mean_len,analysis_text_median_len,raw_desc_mean_len,raw_desc_median_len,mean_yoe,median_yoe,tech_count,tech_count_median
cleaned_labeled,kaggle_arshkon,2024-04,2024,adjacent,2371,2371.0,1550.0,0.0396457191058625,0.11261071277941796,0.21762969211303249,0.0396457191058625,0.004639392661324336,0.47617039223956137,0.4795444959932518,0.034162800506115566,0.3530156052298608,2388.1628005061157,2170.0,3640.25137072965,3230.0,5.274402730375427,5.0,2.6828342471531,2.0
cleaned_labeled,kaggle_arshkon,2024-04,2024,control,7130,7130.0,4498.0,0.1267882187938289,0.2743338008415147,0.346984572230014,0.1267882187938289,0.006872370266479663,0.2429172510518934,0.623422159887798,0.008274894810659187,0.12833099579242638,1880.4600280504908,1528.0,3265.017531556802,2788.5,2.8214067278287462,2.0,0.08387096774193549,0.0
cleaned_labeled,kaggle_arshkon,2024-04,2024,swe,4656,4656.0,2894.0,0.03758591065292096,0.09342783505154639,0.19394329896907217,0.03758591065292096,0.0032216494845360823,0.44372852233676974,0.5154639175257731,0.02577319587628866,0.3434278350515464,1966.1748281786943,1829.0,3316.622852233677,2982.5,5.211491865697473,5.0,4.978307560137457,4.0
cleaned_labeled,kaggle_asaniczka,2024-01,2024,adjacent,8849,8849.0,4232.0,0.01333484009492598,0.09243982370889366,0.2084981353825291,0.01333484009492598,0.001356085433382303,0.6115945304554187,0.373714544016273,0.0219233811730139,0.3320149169397672,2613.179116284326,2442.0,3950.0728895920442,3697.0,5.665076923076923,5.0,2.267826873093005,1.0
cleaned_labeled,kaggle_asaniczka,2024-01,2024,control,17397,17397.0,4244.0,0.040121860090820256,0.28711846870150026,0.3769040639190665,0.040121860090820256,0.0007472552738977985,0.2810829453354027,0.6780479392998793,0.014255331378973387,0.10794964649077426,2181.045640052883,1763.0,3696.4654250732883,3222.0,2.8917132109882595,2.0,0.1200781743978847,0.0
cleaned_labeled,kaggle_asaniczka,2024-01,2024,swe,15557,15557.0,2345.0,0.009577682072378994,0.07475734396091792,0.174905187375458,0.009577682072378994,0.000514237963617664,0.5948447644147329,0.39506331554927043,0.01806260847207045,0.3316192067879411,2302.155685543485,2131.0,3843.8027897409524,3688.0,5.757575757575758,5.0,4.674551648775471,4.0
cleaned_labeled,scraped,2026-03,2026,adjacent,4761,4761.0,3169.0,0.04830917874396135,0.11615206889308968,0.2278932997269481,0.04830917874396135,0.006931316950220542,0.4896030245746692,0.4551564797311489,0.16761184625078765,0.5515647973114892,2975.328922495274,2834.0,5203.540012602394,5094.0,5.201317027281279,5.0,3.796471329552615,3.0
cleaned_labeled,scraped,2026-03,2026,control,3643,3643.0,2802.0,0.1065056272303047,0.24622563821026627,0.3398298105956629,0.1065056272303047,0.0032939884710403516,0.3071644249245128,0.5830359593741422,0.01372495196266813,0.2283832006587977,2360.229755695855,1967.0,4483.343672797145,4086.0,3.433673469387755,3.0,0.15152346966785615,0.0
cleaned_labeled,scraped,2026-03,2026,swe,3960,3960.0,2169.0,0.05606060606060606,0.12070707070707071,0.24242424242424243,0.05606060606060606,0.003787878787878788,0.48484848484848486,0.4553030303030303,0.2058080808080808,0.5444444444444444,2623.7522727272726,2492.5,5072.714646464647,5033.5,4.971460340993328,5.0,5.755808080808081,5.0
cleaned_labeled,scraped,2026-04,2026,adjacent,2317,2317.0,1535.0,0.041432887354337505,0.11911955114372033,0.23608113940440226,0.041432887354337505,0.0056107034958998705,0.48856279671989644,0.4643936124298662,0.20975399223133362,0.5265429434613724,3077.740181268882,2889.0,5244.244712990937,5223.0,5.34221946683199,5.0,3.826068191627104,3.0
cleaned_labeled,scraped,2026-04,2026,control,1831,1831.0,1476.0,0.0977607864554888,0.2572364827962862,0.3353358820316767,0.0977607864554888,0.004369197160021846,0.29000546149645,0.6078645548880394,0.01474604041507373,0.2075368651010377,2374.2654287274713,2042.0,4572.113599126161,4218.0,3.511247443762781,3.0,0.1671217913708356,0.0
cleaned_labeled,scraped,2026-04,2026,swe,1982,1982.0,1026.0,0.03128153380423814,0.10595358224016145,0.2346115035317861,0.03128153380423814,0.006559031281533804,0.5171543895055499,0.4450050454086781,0.19979818365287588,0.5398587285570131,2685.940968718466,2536.5,5112.685166498486,5104.0,5.056348074179743,5.0,5.670030272452069,5.0
