source,period,seniority_final,fk_grade_clean_mean,fk_grade_clean_median,fk_grade_clean_count,reading_ease_clean_mean,reading_ease_clean_median,reading_ease_clean_count,gunning_fog_clean_mean,gunning_fog_clean_median,gunning_fog_clean_count,avg_sentence_length_clean_mean,avg_sentence_length_clean_median,avg_sentence_length_clean_count,type_token_ratio_1000c_clean_mean,type_token_ratio_1000c_clean_median,type_token_ratio_1000c_clean_count,lexicon_count_clean_mean,lexicon_count_clean_median,lexicon_count_clean_count,syllable_count_clean_mean,syllable_count_clean_median,syllable_count_clean_count,char_count_clean_mean,char_count_clean_median,char_count_clean_count,fk_grade_raw_mean,fk_grade_raw_median,fk_grade_raw_count,reading_ease_raw_mean,reading_ease_raw_median,reading_ease_raw_count,gunning_fog_raw_mean,gunning_fog_raw_median,gunning_fog_raw_count,avg_sentence_length_raw_mean,avg_sentence_length_raw_median,avg_sentence_length_raw_count,type_token_ratio_1000c_raw_mean,type_token_ratio_1000c_raw_median,type_token_ratio_1000c_raw_count,lexicon_count_raw_mean,lexicon_count_raw_median,lexicon_count_raw_count,syllable_count_raw_mean,syllable_count_raw_median,syllable_count_raw_count,char_count_raw_mean,char_count_raw_median,char_count_raw_count
kaggle_arshkon,2024-04,associate,19.493284811610256,18.51156527093596,14,2.136580230925968,8.225397350993404,14,22.58265892417767,20.662246794535868,14,26.293217004670204,24.791666666666664,14,0.9323804401817785,0.9478609625668449,14,364.42857142857144,269.5,14,767.8571428571429,505.0,14,2729.785714285714,1808.5,14,16.60680685906606,15.692817198892074,14,13.87618221309047,13.199560103478191,14,19.80440986883218,18.706006053125968,14,21.265442755457766,18.841748768472907,14,0.9333342407565745,0.9705882352941176,14,633.0,537.0,14,1264.2142857142858,1091.0,14,4542.0,3944.0,14
kaggle_arshkon,2024-04,director,30.533793171221593,18.449963898916966,13,-31.3774841076282,-5.713976793248946,13,34.38095802079325,22.434027584930114,13,51.918237132575236,22.166666666666668,13,0.957012815341153,0.9545454545454546,13,388.15384615384613,340.0,13,841.3076923076923,747.0,13,2976.6153846153848,2588.0,13,19.0770733685181,17.381693215339237,13,4.489440215088778,7.60124642614025,13,22.604921809009888,21.412461992285003,13,25.938849574852668,20.952380952380953,13,0.9758078359548947,1.0,13,731.0769230769231,754.0,13,1514.076923076923,1519.0,13,5361.615384615385,5535.0,13
kaggle_arshkon,2024-04,entry,20.920854430994662,17.662086834733895,169,-1.8810383082927433,3.6607678641927066,169,24.00595885198322,20.431410001326437,169,29.783938374853392,21.5,169,0.9175432689495236,0.9259259259259259,168,251.97041420118344,248.0,169,529.4733727810651,521.0,169,1894.1176470588234,1862.5,170,17.13380638344631,16.136971005697543,170,12.660665560745837,13.808851647212549,170,20.219765960493113,19.258452259376618,170,22.70432857478985,20.416282642089094,170,0.9279269122992873,0.9375,170,490.67058823529413,461.0,170,983.6529411764706,925.5,170,3529.935294117647,3323.5,170
kaggle_arshkon,2024-04,mid-senior,20.973382864045682,17.553614885072207,824,-2.5137721894381024,3.0509012099233956,824,24.154666091158706,20.802840772934232,824,29.640133152347843,19.8125,824,0.9221663858458347,0.9375,824,282.248786407767,262.5,824,598.6796116504854,552.0,824,2155.112727272727,2001.0,825,18.18942273399365,16.475775075987844,825,8.499535329516101,12.018587641866361,825,21.359407016284766,19.733333333333334,825,24.617246999293535,20.28205128205128,825,0.9304809129214356,0.9473684210526315,825,501.7987878787879,473.0,825,1013.6024242424243,972.0,825,3647.350303030303,3451.0,825
kaggle_arshkon,2024-04,unknown,20.8087519513544,17.50607946853248,974,-3.3854060558008823,3.413973370379651,974,23.963158688145374,20.647438215792647,974,28.488063169155033,19.52777777777778,974,0.9205774830754722,0.9411764705882353,974,234.95893223819303,213.5,974,503.7084188911704,457.0,974,1805.303680981595,1649.5,978,18.16842566884423,16.532300088456438,978,7.098520999296026,10.04904102948997,978,21.303870680505103,19.773830838268182,978,23.746127390965142,19.818014705882355,978,0.9284047735013209,0.9473684210526315,978,396.34355828220856,331.0,978,812.1912065439673,701.5,978,2919.0255623721882,2521.5,978
kaggle_asaniczka,2024-01,associate,21.786633734680816,15.931363636363638,7,0.7946695809155975,13.500683856502263,7,25.021822363018824,19.465598975016018,7,34.77124779981923,18.772727272727273,7,0.8424159967017111,0.875,7,271.42857142857144,223.0,7,559.1428571428571,467.0,7,2002.5714285714287,1698.0,7,22.58078470138006,16.112434782608698,7,0.9507751863708336,14.392304347826098,7,25.817101534008593,19.556992286404054,7,38.05559941646898,19.565217391304348,7,0.8693963443963444,0.875,7,404.0,450.0,7,824.1428571428571,918.0,7,2932.8571428571427,3258.0,7
kaggle_asaniczka,2024-01,director,23.74679704861761,19.696966058526954,46,-6.66732263863615,2.656492474916405,46,27.59108973899531,23.6254636348976,46,38.47198092863599,30.513888888888886,46,0.9016252884276459,0.930952380952381,46,390.2826086956522,374.0,46,809.2826086956521,776.5,46,2864.0434782608695,2760.0,46,18.688856788994716,16.937477037190526,46,9.06446966847853,12.07732362968791,46,22.337064539274934,20.582478961412153,46,26.9448078430318,23.85267857142857,46,0.9288055922981772,0.9428104575163399,46,647.0217391304348,644.0,46,1299.5434782608695,1281.5,46,4630.673913043478,4526.0,46
kaggle_asaniczka,2024-01,entry,21.066942809621715,18.01217446387207,124,1.29753205028145,7.471974036707721,124,24.566972194602084,21.86840660616138,124,32.15659893835074,24.045454545454547,124,0.923967864395521,0.9436507936507936,124,262.258064516129,246.5,124,537.991935483871,499.5,124,1913.25,1780.0,124,18.01939636556646,16.581144501278775,124,12.139550176103986,14.056030226198004,124,21.50564235899222,20.276275736647253,124,25.97652493719129,22.72222222222222,124,0.933427004946098,0.9511904761904761,124,464.2096774193548,430.0,124,919.758064516129,870.5,124,3276.3709677419356,3126.0,124
kaggle_asaniczka,2024-01,mid-senior,21.131352514718575,17.776009835699124,1049,-0.2342846829105641,5.474412740544153,1049,24.70157463448026,21.287197608045666,1049,31.555829256642077,22.11111111111111,1049,0.9034191862592357,0.9166666666666666,1049,327.5405147759771,302.0,1049,681.6987607244995,636.0,1049,2430.190476190476,2252.0,1050,17.99745224662607,16.3579954876026,1050,11.434634201653997,14.240777797202824,1050,21.531973224192967,20.107532722066743,1050,25.49241774011906,21.490000000000002,1050,0.9201684595555331,0.9375,1050,552.46,525.5,1050,1107.34,1054.0,1050,3953.5295238095237,3755.5,1050
kaggle_asaniczka,2024-01,unknown,20.21818467388229,16.927928862182593,771,2.28680514460658,8.507226277372268,771,23.8166942560827,20.569996327579872,771,29.295509545453633,19.724137931034484,771,0.8999148533148316,0.9166666666666666,770,273.50324254215303,250.0,771,570.071335927367,525.0,771,2031.9288486416558,1890.0,773,17.749730063778134,16.118231292517006,773,11.713531662230746,14.878301380368129,773,21.3172971109178,19.680808080808085,773,24.651845506492474,19.705882352941178,773,0.9130976955227114,0.9285714285714286,773,432.5058214747736,390.0,773,872.2716688227684,794.0,773,3116.8745148771022,2841.0,773
scraped,2026-03,associate,27.690378316792238,19.519028989586264,15,-16.850395936877586,6.513509189925145,15,31.444812024473762,24.476442443005915,15,48.628840155372664,27.214285714285715,15,0.8903345227464746,0.8888888888888888,15,335.06666666666666,355.0,15,686.1333333333333,713.0,15,2548.6,2571.0,15,17.913363000678654,17.85944443515903,15,11.706326775735688,11.929542349726773,15,21.37348828026384,20.62264135670053,15,25.306474083413185,23.333333333333332,15,0.9435181808340377,0.9411764705882353,15,784.4666666666667,773.0,15,1562.0666666666666,1595.0,15,5717.2,5670.0,15
scraped,2026-03,director,21.786716336691274,18.837882352941183,33,-2.2434390388027174,4.519979074446695,33,25.699470798317655,22.49537745905611,33,33.06583344084357,24.17391304347826,33,0.9337350341593235,0.9473684210526315,33,439.6363636363636,425.0,33,911.2424242424242,862.0,33,3352.6666666666665,3185.0,33,17.889734713975404,17.334292929292932,33,11.33217639655004,13.77387904468415,33,21.539506241675667,21.10886007122856,33,25.00129601187653,24.136363636363637,33,0.9493345752661824,1.0,33,810.0,817.0,33,1622.8484848484848,1641.0,33,6001.69696969697,6005.0,33
scraped,2026-03,entry,19.15009307345608,16.576179609863825,203,6.857463398358207,12.040305343511477,203,22.44108100912851,19.77139761646804,203,27.562303949898222,20.444444444444443,203,0.8990853992598214,0.9130434782608695,203,304.04926108374383,296.0,203,618.6502463054187,596.0,203,2252.640776699029,2155.5,206,15.909272087719918,15.126690745910635,206,20.187127876838442,22.24910641223721,206,19.104260348717656,18.344776309660414,206,22.00092913202637,19.954761904761902,206,0.9310465974419702,0.9473684210526315,206,726.1019417475728,710.0,206,1406.388349514563,1363.5,206,5153.57281553398,5006.0,206
scraped,2026-03,mid-senior,21.28383658403692,17.517280831125507,906,-1.2716132430924934,5.7733404966571555,906,24.81270068265725,21.152375539848727,906,31.58721695489516,20.868115942028986,906,0.914754547922892,0.9310344827586207,906,372.47792494481234,352.0,906,777.1931567328918,725.5,906,2864.5539647577093,2694.5,908,17.44350614246405,16.30513228994895,908,12.871688335221855,15.243452813022884,908,20.95418155758399,19.934142284200217,908,24.069445782370266,20.58653846153846,908,0.9335491870211294,0.9473684210526315,908,723.9085903083701,716.5,908,1443.3997797356828,1428.5,908,5286.8359030837,5236.5,908
scraped,2026-03,unknown,21.39440684688741,17.081571969696974,838,-1.6512023384524244,6.7977287832200375,838,24.924602544194453,20.86507344231225,838,31.819176459672445,20.47972972972973,838,0.9006288235393681,0.9166666666666666,838,318.87947494033415,303.0,838,666.3186157517899,634.5,838,2458.3568019093077,2327.5,838,17.75373422890528,15.92065000220527,838,11.63596642730347,15.583435842215422,838,21.244188604417296,19.457599094633515,838,24.624414502905616,20.011904761904763,838,0.9219312170199999,0.9411764705882353,838,606.9355608591885,596.0,838,1214.5310262529833,1201.5,838,4452.058472553699,4393.5,838
