source,period,n,companies,median_chars,mean_chars
kaggle_arshkon,2024-04,4540,2293,1832.0,1969.2455947136564
kaggle_asaniczka,2024-01,12131,4575,2107.0,2281.1542329568874
scraped,2026-03,3596,1746,2495.5,2619.998887652948
scraped,2026-04,1894,1077,2539.5,2689.259767687434
