swe_classification_tier,n,share
unresolved,1009338,0.8728420823240783
regex,134299,0.11613732844105878
embedding_llm,7019,0.00606979879468791
embedding_adjacent,5106,0.004415499735813715
embedding_high,619,0.0005352907043612788
