sample,n,positive,adjacent,not_swe,strict_correct,strict_error,strict_correct_rate,strict_error_rate
borderline_swe,50,27,23,0,27,23,0.54,0.46
borderline_nonswe,50,6,11,33,44,6,0.88,0.12
