company_name_canonical,mean_sig_2024,mean_sig_2026,n_2024,n_2026,sig_delta
Zscaler,0.09838063153277368,1.5587326818008747,14.0,18.0,1.4603520502681009
GEICO,0.21789154722087406,1.1076942820347013,9.0,70.0,0.8898027348138273
SSi People,0.0,0.7446480009632984,5.0,11.0,0.7446480009632984
ApTask,0.19296023858862563,0.9219922912012628,7.0,5.0,0.7290320526126371
Teradyne,0.1380357874086983,0.8599080609212839,5.0,34.0,0.7218722735125856
DataAnnotation,0.0,0.6827940194743912,8.0,71.0,0.6827940194743912
ServiceNow,0.01874062968515742,0.6828469886501286,10.0,19.0,0.6641063589649712
Trimble Inc.,0.44103018403779404,1.0930561399275114,14.0,38.0,0.6520259558897173
Eclaro,0.11573819704182053,0.7607817504959891,7.0,10.0,0.6450435534541685
Dexian,0.12327033624939075,0.7347141933992737,12.0,41.0,0.6114438571498829
DRW,0.47882931598483575,1.0573287344227884,7.0,18.0,0.5784994184379526
Serco,0.0636901081731345,0.6331903151850876,6.0,5.0,0.5695002070119531
Palo Alto Networks,0.23547679245985567,0.7993817098682376,99.0,52.0,0.563904917408382
"Liberty Personnel Services, Inc.",0.0808668767355537,0.6356319685388928,39.0,13.0,0.5547650918033391
The Depository Trust & Clearing Corporation (DTCC),0.3164614386525102,0.8565304564301848,5.0,25.0,0.5400690177776746
Ridgeline,0.4953445464000816,1.0290288994788004,9.0,10.0,0.5336843530787188
NiCE,0.06793650170069802,0.5890878687973735,9.0,9.0,0.5211513670966755
KTek Resourcing,0.16328891874743404,0.6843993252989458,6.0,10.0,0.5211104065515118
Precision Technologies,0.07230657989877078,0.5709937271837522,6.0,7.0,0.4986871472849814
Lyft,0.5487596190890862,1.0441377851687537,13.0,16.0,0.49537816607966745
Experis,0.11909992986626383,0.6127767341176873,44.0,72.0,0.49367680425142346
My3Tech,0.0832639467110741,0.559093742018349,5.0,7.0,0.475829795307275
Futran Solutions,0.04548969658372379,0.5165385658985899,13.0,8.0,0.4710488693148661
Verkada,0.1911494925877185,0.6578843268833093,12.0,38.0,0.4667348342955908
Software Technology Inc.,0.19041140528613704,0.6375892559961197,33.0,5.0,0.44717785070998267
Lumicity,0.05376055050803721,0.5007352263143154,11.0,10.0,0.44697467580627825
Smart IT Frame LLC,0.0,0.44695230336136405,8.0,44.0,0.44695230336136405
CVS Health,0.20698414605412951,0.6488208520203285,22.0,60.0,0.44183670596619895
Inceed,0.24112364903706457,0.6728847505939323,7.0,7.0,0.4317611015568677
Cypress HCM,0.09037345881861567,0.5182782464159326,9.0,17.0,0.42790478759731687
Genpact,0.8514532957761518,1.2792477186201563,12.0,5.0,0.4277944228440045
Baxter International Inc.,0.17116846415046869,0.5934028366999478,5.0,7.0,0.42223437254947904
"The Swift Group, LLC",0.0954653937947494,0.5166285179927265,5.0,32.0,0.4211631241979771
CACI International Inc,0.18082824122925895,0.5974440530232731,52.0,92.0,0.41661581179401413
Genentech,0.44096484266873015,0.8537260581595184,5.0,15.0,0.41276121549078826
Enexus Global Inc.,0.07296074711805049,0.480985677185414,11.0,15.0,0.4080249300673635
Belay Technologies,0.3199744736141328,0.7267069874445379,52.0,12.0,0.4067325138304051
American Express,0.5568283898948956,0.9522778807651792,7.0,18.0,0.3954494908702836
Zipline,0.2674614956609859,0.6564311619421137,13.0,17.0,0.3889696662811278
WEX,0.5207238552067346,0.8996669103386564,8.0,21.0,0.37894305513192184
Protingent,0.2815250181837329,0.6533866440947924,9.0,8.0,0.37186162591105953
Wise Skulls,0.023334545798619932,0.39314021018338463,30.0,13.0,0.3698056643847647
Siri InfoSolutions Inc,0.0,0.3652609894375448,8.0,11.0,0.3652609894375448
Carrier,0.1167972038890979,0.48191300375549884,9.0,9.0,0.36511579986640097
Optomi,0.3776598375077927,0.74208113074328,9.0,23.0,0.3644212932354873
Fortinet,0.34530581368165486,0.7059763468260536,12.0,5.0,0.36067053314439873
Prime Video & Amazon MGM Studios,0.12683204501238504,0.4862030927759706,7.0,10.0,0.3593710477635856
Parsons Corporation,0.6246920171403711,0.9766182676840546,16.0,29.0,0.3519262505436834
Clover,0.07415301664613758,0.4259631019451377,10.0,5.0,0.35181008529900015
Collabera,0.0,0.3445575450320432,18.0,26.0,0.3445575450320432
Hexaware Technologies,0.0,0.3439297613418118,9.0,6.0,0.3439297613418118
Solomon Page,0.2401663006775673,0.5730753492895344,5.0,13.0,0.33290904861196713
Thermo Fisher Scientific,0.21361862081475946,0.5422624593492194,6.0,8.0,0.3286438385344599
Intuit,0.46609729091371943,0.7858748482781758,17.0,99.0,0.31977755736445634
Crusoe,0.3181468396453151,0.6363909862009045,8.0,26.0,0.3182441465555894
"Akraya, Inc.",0.19371080295324833,0.5112276517490836,5.0,13.0,0.31751684879583525
Amazon Web Services (AWS),0.2520917883461814,0.568306514593397,109.0,376.0,0.3162147262472156
Medtronic,0.17522054404904136,0.48692026966446406,28.0,24.0,0.3116997256154227
Soho Square Solutions,0.0,0.30303155295421397,6.0,6.0,0.30303155295421397
UST,0.05926211101697248,0.3609607698263454,31.0,21.0,0.3016986588093729
"Onyx Point, LLC.",0.044003721004711865,0.3391108613551085,17.0,15.0,0.29510714035039665
eTeam,0.35503649576740764,0.6450444875111413,18.0,6.0,0.29000799174373365
Tata Consultancy Services,0.1369569450249849,0.4162950379441261,72.0,142.0,0.2793380929191412
Saransh Inc,0.14061178782834638,0.4188674930044218,29.0,13.0,0.2782557051760754
"IDR, Inc.",0.0236032761347275,0.30169365468786213,13.0,30.0,0.2780903785531346
Tech Consulting,0.25803068632407694,0.5336909683686668,7.0,13.0,0.27566028204458987
Tekskills Inc.,0.0,0.2749688470198252,5.0,7.0,0.2749688470198252
"Mission Technologies, a division of HII",0.17454145790707878,0.4383859525343275,68.0,35.0,0.2638444946272487
Scientific Research Corporation,0.23403435117664836,0.4917904697560303,21.0,7.0,0.25775611857938197
Broadcom,0.43902418352444234,0.691780183188064,6.0,34.0,0.25275599966362167
State Street,0.38894138392940536,0.6413400085600726,6.0,11.0,0.2523986246306672
"Donato Technologies, Inc.",0.16547851991606696,0.41746878708587626,24.0,5.0,0.2519902671698093
Damco Solutions,0.1388464731211674,0.3855207647876718,12.0,5.0,0.24667429166650437
The Trade Desk,0.5490733458320959,0.7883855483264642,15.0,19.0,0.23931220249436835
Rose International,0.02917152858809801,0.26822148123975753,10.0,15.0,0.23904995265165951
"Intelliforce-IT Solutions Group, LLC.",0.0,0.2310809988383085,8.0,14.0,0.2310809988383085
Deloitte,0.2872380020655427,0.5110304632839408,22.0,62.0,0.22379246121839808
GE HealthCare,0.23993902167336745,0.4631775576211552,10.0,12.0,0.22323853594778775
SAIC,0.11163773603072583,0.3342655611391901,46.0,32.0,0.22262782510846427
Innovative Defense Technologies (IDT),0.44023585071776006,0.6617414411076591,10.0,12.0,0.22150559038989903
hackajob,0.2846966320482592,0.49686168660927776,10.0,263.0,0.21216505456101858
"Softworld, a Kelly Company",0.33237762041073127,0.5429022431019223,9.0,6.0,0.210524622691191
LER TechForce,0.046633090841260945,0.254049850967485,6.0,11.0,0.20741676012622406
Amazon,0.2627531206445233,0.46925591655076665,173.0,376.0,0.20650279590624337
Open Systems Technologies,0.21982948687985313,0.4252109342115282,47.0,18.0,0.2053814473316751
Centraprise,0.1401951747792331,0.34487374031471807,17.0,28.0,0.20467856553548497
NLB Services,0.05657388549445576,0.25850349425248925,9.0,29.0,0.2019296087580335
BCforward,0.15768933762693643,0.35918886058504307,13.0,47.0,0.20149952295810664
Optiver,0.6355664398544608,0.8368832983721243,6.0,9.0,0.20131685851766346
VySystems,0.06595435958316845,0.2668754106556644,6.0,15.0,0.20092105107249594
Lorven Technologies Inc.,0.1204947646065472,0.3171584672853287,31.0,51.0,0.1966637026787815
Snowflake,0.326557929963127,0.5221299189678373,38.0,41.0,0.19557198900471034
York Space Systems,0.3095665356288065,0.5022434735860054,7.0,12.0,0.19267693795719892
Huntington National Bank,0.08571185333350716,0.2708634208757586,7.0,11.0,0.18515156754225143
Goldman Sachs,0.76775828283627,0.9488887771444241,35.0,49.0,0.1811304943081541
ELEVI Associates,0.06666666666666667,0.24707516099255403,5.0,12.0,0.18040849432588735
CyberCoders,0.19948299241731066,0.3787349702836109,97.0,136.0,0.17925197786630026
Sierra Space,0.5148513945605767,0.694025851876871,23.0,11.0,0.17917445731629433
Recruiting from Scratch,0.22891536974099055,0.4080078679064478,38.0,7.0,0.17909249816545722
Piper Companies,0.41908460384167756,0.5961841852559788,24.0,110.0,0.17709958141430127
Ascendion,0.01680644022789533,0.19283195292558034,13.0,12.0,0.17602551269768502
Purple Drive Technologies LLC,0.12461059190031151,0.29430611275599816,5.0,8.0,0.16969552085568665
Javen Technologies,0.0395882818685669,0.2040730572128496,5.0,12.0,0.16448477534428269
QinetiQ US,0.02422011238132145,0.1876770595021178,8.0,6.0,0.16345694712079634
Ehub Global Inc,0.0,0.1629551377662209,5.0,6.0,0.1629551377662209
"Software Guidance & Assistance, Inc. (SGA, Inc.)",0.06205816484533397,0.22491481666166377,9.0,22.0,0.1628566518163298
AbbVie,0.24493734660699315,0.407002831060983,10.0,10.0,0.16206548445398986
The Hartford,0.15519435919510444,0.3171828470831797,9.0,16.0,0.16198848788807524
Tekgence Inc,0.0,0.1570770621316043,6.0,11.0,0.1570770621316043
Liberty Mutual Insurance,0.3924539546707887,0.5471068936069476,5.0,9.0,0.15465293893615895
New York Technology Partners,0.0,0.15231448179678952,5.0,74.0,0.15231448179678952
Mindlance,0.09689922480620156,0.2484386520289757,6.0,28.0,0.15153942722277414
HTC Global Services,0.6101296341251613,0.7609084062855893,21.0,24.0,0.150778772160428
Talent Groups,0.0364232380258605,0.18691890576786982,19.0,31.0,0.15049566774200931
TekWissen ®,0.19854170164301266,0.3483870864583011,23.0,5.0,0.14984538481528842
SMX,0.6526847067702563,0.801884407253351,5.0,27.0,0.14919970048309472
Cognizant,0.31267502364939526,0.4606236389413634,20.0,61.0,0.14794861529196812
Wells Fargo,0.10565213628133124,0.2519098410505811,37.0,327.0,0.14625770476924987
FIS,0.09706222136944519,0.24288795225523316,60.0,16.0,0.14582573088578799
Actalent,0.04921843957303771,0.19476028309502072,39.0,276.0,0.14554184352198302
Rocket Lab,0.24386362524451066,0.3888075474691886,13.0,22.0,0.14494392222467795
Honeywell,0.4412278481067578,0.5852561268995641,44.0,51.0,0.14402827879280627
AT&T,0.1389704332374517,0.2813107425692934,9.0,25.0,0.1423403093318417
ManTech,0.10385668795044235,0.24613500040445296,39.0,44.0,0.14227831245401062
Rippling,0.7001264216502001,0.841317327622064,16.0,51.0,0.1411909059718639
JPMorgan Chase & Co.,0.23464071969002362,0.3746408725315097,12.0,680.0,0.14000015284148606
Insight Global,0.14856933580309373,0.2869004099513304,61.0,141.0,0.1383310741482367
Accenture,0.12007507698603263,0.2583836981421906,12.0,59.0,0.13830862115615794
