company_name_canonical,period_year,n,mean_score,mean_sig,mean_em_dash,mean_sent_len,mean_ttr
Crusoe,2026,26,0.9724112745833912,0.6363909862009046,0.8568924725498843,29.187767972871036,0.593939393939394
StubHub,2026,38,0.8983238922659282,0.9537227878541846,0.6002266985731124,28.267287496281327,0.6213156097362105
Databricks,2026,60,0.7938402598954023,0.663700531580565,0.8307441904375835,23.984986225446985,0.6726993362924236
Anblicks,2026,25,0.7857966732265822,0.33103871175398064,0.780330351174933,74.78697517209234,0.7296529419209513
Alignerr,2026,132,0.7389914989514622,0.447733257577279,1.2879510101290093,66.1315971214367,0.7020813179303366
Waymo,2026,45,0.7244388608374001,0.4258682716811825,0.8603703222813464,26.80320965458176,0.6536064430870886
Boston Dynamics,2026,20,0.6891920129649478,1.5068845699280962,0.1007254719222265,24.50191712436156,0.671503656089621
Snowflake,2026,41,0.6714994535957294,0.5221299189678373,0.6401021293539413,22.394677996005374,0.651559240922707
Rippling,2026,51,0.6248383549914183,0.841317327622064,0.8297307492110999,24.008435986676098,0.7417366736152315
Air Apps,2026,21,0.6134641455508871,0.46443901950137023,1.0413275088653897,15.017429931380967,0.7316866521260454
Anthropic,2026,78,0.5862529874401802,0.19990148021107176,0.9108993689547819,27.90768488660635,0.6405636911942036
Trimble Inc.,2026,38,0.5487595923003938,1.0930561399275114,0.4389341720867284,24.926122969523565,0.7299755192925566
Palo Alto Networks,2026,52,0.541121030097676,0.7993817098682376,0.20774823763802844,23.43731253928703,0.6137274374459518
Nuro,2026,21,0.5245681696706089,1.011584283906048,0.24062231416696245,26.696239911830997,0.6804794214861412
DoorDash,2026,31,0.5185090833295807,0.4236513571887686,0.5502314931742085,27.00104736443721,0.6568305755407708
Pure Storage,2026,25,0.4791186543731368,0.48788192103809436,0.47480369998609345,34.43907873195397,0.6353433703006672
Lam Research,2026,33,0.4378023363007783,0.8098894910115012,0.0,22.453685058503847,0.6206921345647786
WEX,2026,21,0.4328807158590868,0.8996669103386564,0.3914572580747936,19.293614580120654,0.718924615844493
