source,period_year,n,mean_sig,mean_em,mean_score
kaggle_arshkon,2024,4691,0.338,0.031,0.01
kaggle_asaniczka,2024,18129,0.318,0.032,-0.038
scraped,2026,45317,0.413,0.131,0.014
