uid,source,period_year,company_name_canonical,authorship_score,raw_sig_vocab_count,raw_sig_vocab_density,raw_em_dash_density,avg_sentence_length,sentence_length_sd
arshkon_3902796553,kaggle_arshkon,2024,Federal Home Loan Bank of Chicago,-1.4223390193171093,2.0,0.24663953631767171,0.0,180.16666666666666,338.7444546491582
linkedin_li-4390399695,scraped,2026,Stable Kernel,-1.3756232681862606,2.0,0.15781582892764145,0.0,81.6,248.6978890139601
asaniczka_2a71c0f2e4938fa6,kaggle_asaniczka,2024,"Onyx Point, LLC.",-1.3220412153836256,2.0,0.2773540424351685,0.0,96.2,210.41140653491198
linkedin_li-4396348646,scraped,2026,Medinext Global LLC,-1.3110044522141995,0.0,0.0,0.0,60.22222222222222,147.95703413699965
linkedin_li-4392932832,scraped,2026,MetTel,-1.3101246934020012,0.0,0.0,0.0,77.77777777777777,219.74216091581198
linkedin_li-4391879085,scraped,2026,IMR Soft LLC,-1.3069753237515311,0.0,0.0,0.0,11.5,8.5
asaniczka_c81152cb2ee7bb31,kaggle_asaniczka,2024,ClearanceJobs,-1.301942840395467,3.0,0.32601608346011735,0.0,135.11111111111111,262.692657108579
arshkon_3901946817,kaggle_arshkon,2024,,-1.2879550031293352,0.0,0.0,0.0,6.0,0.0
arshkon_3904097659,kaggle_arshkon,2024,Avanciers,-1.2879550031293352,0.0,0.0,0.0,6.0,0.0
linkedin_li-4374326342,scraped,2026,"Solera Holdings, LLC.",-1.2697191866679804,5.0,0.5830903790087463,0.0,145.14285714285714,286.31572411858735
linkedin_li-4386159806,scraped,2026,Pacific Gas and Electric Company,-1.2524948541564673,1.0,0.13453518094981837,0.0,68.46153846153847,162.98825601138608
linkedin_li-4400012258,scraped,2026,Envision Technology Solutions,-1.252360761282928,0.0,0.0,0.0,14.0,4.0
arshkon_3901936744,kaggle_arshkon,2024,Creospan Inc.,-1.230337038623189,0.0,0.0,0.0,13.0,0.0
linkedin_li-4389261489,scraped,2026,"Pyramid Consulting, Inc",-1.2195821707927268,0.0,0.0,0.0,39.53846153846154,81.4877200608169
arshkon_3895242237,kaggle_arshkon,2024,Amtex Systems Inc.,-1.2138747630500046,0.0,0.0,0.0,15.0,0.0
