subset,metric,val_2024,val_2026,delta,n_24,n_26
ALL,raw_length,3763.080806310254,4893.354370324602,1130.2735640143483,22820,45317
ALL,ai_binary_rate,0.009377738825591586,0.14074188494384007,0.13136414611824848,22820,45317
ALL,scope_density,0.3005742378518335,0.3970500794119501,0.09647584156011657,22820,45317
ALL,requirements_share,0.23796848947380592,0.21259422249781423,-0.025374266975991683,22820,45317
ALL,credential_stack>=5_J3,0.4289142171565687,0.5991068361387839,0.17019261898221522,1667,2911
ALL,credential_stack>=5_S4,0.5255157437567861,0.6594644648506829,0.13394872109389677,12894,12959
ALL,tech_count,5.405521472392638,7.46494692940839,2.0594254570157515,22820,45317
ALL,requirement_breadth_resid,-0.8140207206761352,0.40991135436655346,1.2239320750426885,22820,45317
LOW-CLEAN-Q1,raw_length,2512.631726555653,3095.369670756466,582.7379442008128,5705,11329
LOW-CLEAN-Q1,ai_binary_rate,0.0049079754601227,0.12039897607908906,0.11549100061896636,5705,11329
LOW-CLEAN-Q1,scope_density,0.23512778661465708,0.3584077275126726,0.1232799408980155,5705,11329
LOW-CLEAN-Q1,requirements_share,0.24082806074666027,0.23920583089244563,-0.0016222298542146463,5705,11329
LOW-CLEAN-Q1,credential_stack>=5_J3,0.2946859903381642,0.4603421461897356,0.1656561558515714,414,643
LOW-CLEAN-Q1,credential_stack>=5_S4,0.35390385271053526,0.4652027027027027,0.11129884999216744,2933,2960
LOW-CLEAN-Q1,tech_count,4.709553023663453,6.702268514431989,1.9927154907685356,5705,11329
LOW-CLEAN-Q1,requirement_breadth_resid,-1.2684283398103047,-0.29379873107543575,0.9746296087348689,5705,11329
HIGH-CLEAN-Q4,raw_length,3980.540578439965,5050.616240070609,1070.075661630644,5705,11330
HIGH-CLEAN-Q4,ai_binary_rate,0.017879053461875547,0.1669020300088261,0.14902297654695057,5705,11330
HIGH-CLEAN-Q4,scope_density,0.3807323667094,0.4635328871946325,0.08280052048523245,5705,11330
HIGH-CLEAN-Q4,requirements_share,0.23767213819407998,0.20681339662050124,-0.030858741573578735,5705,11330
HIGH-CLEAN-Q4,credential_stack>=5_J3,0.5761904761904761,0.6593059936908517,0.0831155175003756,420,634
HIGH-CLEAN-Q4,credential_stack>=5_S4,0.6300412829469673,0.7423780487804879,0.11233676583352059,3149,3280
HIGH-CLEAN-Q4,tech_count,5.8049079754601225,7.650838481906443,1.8459305064463205,5705,11330
HIGH-CLEAN-Q4,requirement_breadth_resid,-0.09718580811933394,1.0341912258526953,1.1313770339720293,5705,11330
