company_name_canonical,mean_score_2024,mean_score_2026,n_2024,n_2026,score_delta
Crusoe,-0.32367490313552194,0.9724112745833912,8.0,26.0,1.2960861777189132
SynergisticIT,-0.4053803466553925,0.8438849255310479,6.0,19.0,1.2492652721864403
"American Unit, Inc",-0.29667288863857566,0.5012955968973286,9.0,8.0,0.7979684855359043
GEICO,-0.41211001433087635,0.35316000342813314,9.0,70.0,0.7652700177590095
Trane Technologies,0.13371630578669272,0.8770621119267903,9.0,10.0,0.7433458061400976
Software Technology Inc.,-0.06179533626643987,0.6794697517650821,33.0,5.0,0.7412650880315219
Tekgence Inc,-0.5145260345402903,0.12495342774055312,6.0,11.0,0.6394794622808435
"Intelliforce-IT Solutions Group, LLC.",-0.2985749909967289,0.3015985401814944,8.0,14.0,0.6001735311782233
Ehub Global Inc,-0.18371548190628034,0.40722161964484876,5.0,6.0,0.5909371015511291
Teradyne,-0.31212274615910585,0.25129175810856286,5.0,34.0,0.5634145042676687
The Depository Trust & Clearing Corporation (DTCC),-0.16976583521987726,0.3931708583067043,5.0,25.0,0.5629366935265816
Ridgeline,-0.04589937801143355,0.5005888912202051,9.0,10.0,0.5464882692316386
WEX,-0.09061878763950255,0.4328807158590868,8.0,21.0,0.5234995034985893
Trimble Inc.,0.0290839975489802,0.5487595923003938,14.0,38.0,0.5196755947514137
Palo Alto Networks,0.02426132526920837,0.541121030097676,99.0,52.0,0.5168597048284677
Lumicity,-0.1385212524892301,0.3716315993474083,11.0,10.0,0.5101528518366384
Snowflake,0.1728475167657182,0.6714994535957294,38.0,41.0,0.4986519368300112
NiCE,-0.20036978227163835,0.29755423410379567,9.0,9.0,0.49792401637543404
Protingent,-0.03347633018682546,0.41598190360903864,9.0,8.0,0.4494582337958641
Serco,-0.1528654690220845,0.29589884654923615,6.0,5.0,0.4487643155713207
DataAnnotation,-0.012611109394074244,0.4052861360388536,8.0,71.0,0.41789724543292783
Precision Technologies,-0.1609125521140791,0.22167635785085277,6.0,7.0,0.3825889099649319
Confidential,-0.2338956971360841,0.14571988817956175,10.0,8.0,0.3796155853156459
Zipline,-0.0020519563656835435,0.37351837159304996,13.0,17.0,0.3755703279587335
"Miracle Software Systems, Inc",-0.2670150462150331,0.09955458330172332,6.0,7.0,0.3665696295167564
ServiceNow,-0.12997699910433494,0.22738522661104196,10.0,19.0,0.3573622257153769
Cloudflare,-0.44474532197713074,-0.08778043000753455,26.0,38.0,0.3569648919695962
Sierra Space,0.1129213018410611,0.46928237988278315,23.0,11.0,0.35636107804172207
Eclaro,-0.2425122373542718,0.11275210818344084,7.0,10.0,0.35526434553771263
Zscaler,0.3047819444011424,0.6554709396932951,14.0,18.0,0.35068899529215264
"VMC Soft Technologies, Inc",-0.48526259989615267,-0.14177278597813972,6.0,15.0,0.3434898139180129
NBCUniversal,-0.013169381095030273,0.32025079659294853,7.0,12.0,0.3334201776879788
"Liberty Personnel Services, Inc.",-0.3593931479683967,-0.03552878215822121,39.0,13.0,0.3238643658101755
CACI International Inc,-0.13483562316817152,0.1869725269736669,52.0,92.0,0.3218081501418384
KTek Resourcing,0.15087816356736286,0.468989577657157,6.0,10.0,0.31811141408979415
Actalent,-0.13240844382200254,0.17881977135585392,39.0,276.0,0.3112282151778565
DRW,-0.013192894113556172,0.2951143279886108,7.0,18.0,0.308307222102167
ApTask,-0.22257371205507556,0.08149138137994158,7.0,5.0,0.30406509343501714
AMD,-0.10274541732811712,0.2005831536923372,25.0,88.0,0.3033285710204543
Baxter International Inc.,0.23282019400688697,0.5287646078372561,5.0,7.0,0.2959444138303691
Dexian,-0.18339115438308626,0.10540174457046278,12.0,41.0,0.28879289895354904
State Street,-0.06290202727624346,0.22488581202297683,6.0,11.0,0.2877878392992203
MongoDB,0.13399089050667504,0.41964974674009486,5.0,23.0,0.2856588562334198
Open Systems Technologies,-0.33414396228466187,-0.04882301250939494,47.0,18.0,0.2853209497752669
hackajob,-0.2856256541626601,-0.008990062940686782,10.0,263.0,0.27663559122197334
Soho Square Solutions,-0.05436715138364869,0.22085500170841774,6.0,6.0,0.27522215309206643
Innovative Defense Technologies (IDT),-0.1975249537232082,0.0717568275643399,10.0,12.0,0.2692817812875481
ManTech,-0.3441876601445713,-0.07921589466744619,39.0,44.0,0.2649717654771251
Truveta,-0.031891915074925385,0.2266236942979495,10.0,6.0,0.2585156093728749
Medtronic,-0.00638586005705579,0.2520323232896981,28.0,24.0,0.25841818334675387
LER TechForce,-0.3423023508499516,-0.09430045796432855,6.0,11.0,0.24800189288562302
Verizon,0.0012425555025633666,0.24101875801880263,8.0,11.0,0.23977620251623927
Clover,-0.15564298415974126,0.077825719101299,10.0,5.0,0.23346870326104024
Lyft,0.2624328898252784,0.49331666890662956,13.0,16.0,0.23088377908135116
Intellectt Inc,-0.10540535063723143,0.12292840848792241,90.0,24.0,0.22833375912515386
Genentech,0.15550182892260364,0.37971555455281447,5.0,15.0,0.22421372563021083
Genpact,0.3474837755689595,0.5680839047179058,12.0,5.0,0.22060012914894633
Wise Skulls,-0.4197248761811877,-0.20650616660139823,30.0,13.0,0.21321870957978947
Bose Corporation,0.0981634891267528,0.30862138416734386,8.0,5.0,0.21045789504059106
Huntington National Bank,-0.22408450571125874,-0.014061544854335417,7.0,11.0,0.21002296085692332
Siri InfoSolutions Inc,-0.21191720404192999,-0.0032154010081127445,8.0,11.0,0.20870180303381725
Mastech Digital,-0.12328709879973154,0.07979548491549714,16.0,31.0,0.2030825837152287
IntePros,-0.14707036854914465,0.052443701540922955,9.0,12.0,0.1995140700900676
"Mission Technologies, a division of HII",-0.26667345655201935,-0.06803019392412292,68.0,35.0,0.19864326262789644
The Walt Disney Company,0.08054040422957337,0.2731584946999746,51.0,69.0,0.19261809047040124
Quantum World Technologies Inc.,-0.043952178900038455,0.14767026527948615,14.0,12.0,0.19162244417952462
AT&T,-0.2519299851340534,-0.060530178266010315,9.0,25.0,0.1913998068680431
Datadog,-0.044486165936839836,0.14501085266531424,7.0,14.0,0.18949701860215407
Inceed,-0.14754307541598574,0.03687547995681735,7.0,7.0,0.1844185553728031
Tekskills Inc.,-0.316804269202126,-0.1331383035039404,5.0,7.0,0.1836659656981856
Vanguard,-0.24521234549447427,-0.06507476546248946,19.0,18.0,0.18013758003198482
The Trade Desk,0.08001492953134885,0.2567960548874204,15.0,19.0,0.17678112535607154
Two Six Technologies,-0.3323910242136075,-0.15661086456525103,7.0,14.0,0.17578015964835647
Infosys,-0.29577187823867374,-0.12174516173872534,42.0,50.0,0.1740267164999484
