uid,source,period_year,company_name_canonical,authorship_score,raw_sig_vocab_count,raw_sig_vocab_density,raw_em_dash_density,avg_sentence_length,sentence_length_sd
asaniczka_a932562eb3d74437,kaggle_asaniczka,2024,Ekodus,5.018199208754652,1.0,0.22598870056497175,0.0,577.0,0.0
linkedin_li-4399416133,scraped,2026,onPhase,4.980602231770169,2.0,0.4708097928436911,7.532956685499058,106.6,142.61921329189835
linkedin_li-4396664307,scraped,2026,Galent,4.585612814328668,4.0,0.970638194612958,0.0,543.0,0.0
linkedin_li-4396027284,scraped,2026,Anblicks,4.574241491311095,0.0,0.0,3.6824877250409163,324.0,0.0
arshkon_3905342070,kaggle_arshkon,2024,H-E-B,4.292973865845134,1.0,0.24881811395869619,0.0,557.0,0.0
linkedin_li-4397363385,scraped,2026,Anblicks,4.2660043342628065,0.0,0.0,3.3912674862229757,313.0,0.0
linkedin_li-4399414816,scraped,2026,Anblicks,4.2660043342628065,0.0,0.0,3.3912674862229757,313.0,0.0
linkedin_li-4402026065,scraped,2026,Anblicks,4.258034740634574,0.0,0.0,3.3798056611744824,313.0,0.0
linkedin_li-4398173881,scraped,2026,Umanist NA,4.103706697679827,2.0,0.48614487117160915,0.0,503.0,0.0
linkedin_li-4398159229,scraped,2026,KAnand Corporation,4.021008474576807,2.0,0.4807692307692308,0.0,501.0,0.0
asaniczka_e45744040d66ea0f,kaggle_asaniczka,2024,Executive Staff Recruiters / ESR Healthcare,3.9938459959167587,2.0,0.5360493165371214,0.0,516.0,0.0
linkedin_li-4396302467,scraped,2026,Lorven Technologies Inc.,3.981337719598028,3.0,0.8554319931565441,0.0,479.0,0.0
linkedin_li-4401504301,scraped,2026,Software Technology Inc.,3.824199878081879,1.0,1.9267822736030829,3.8535645472061657,22.5,3.840572873934304
linkedin_li-4394764132,scraped,2026,Pluton Resource Intelligence,3.7314383661701056,0.0,0.0,5.592841163310962,40.2,34.70100863087412
linkedin_li-4332218006,scraped,2026,AccruePartners,3.7192288568655085,3.0,0.9121313469139556,0.30404378230465184,461.0,0.0
