metro_area,2024,2026,delta
Minneapolis-Saint Paul,0.0,0.12987012987012986,0.12987012987012986
Tampa Bay Metro,0.0,0.11428571428571428,0.11428571428571428
Portland Metro,0.0,0.09090909090909091,0.09090909090909091
Seattle Metro,0.009174311926605505,0.096875,0.0877006880733945
Raleigh-Durham-Chapel Hill,0.0,0.08571428571428572,0.08571428571428572
Atlanta Metro,0.02702702702702703,0.1044776119402985,0.07745058491327148
New York City Metro,0.0,0.07024793388429752,0.07024793388429752
Salt Lake City Metro,0.0,0.06986899563318777,0.06986899563318777
Pittsburgh Metro,0.0,0.06451612903225806,0.06451612903225806
Dallas-Fort Worth Metro,0.0,0.059322033898305086,0.059322033898305086
Boston Metro,0.010526315789473684,0.06542056074766354,0.05489424495818986
Austin Metro,0.0392156862745098,0.08275862068965517,0.04354293441514537
Nashville Metro,0.0,0.043478260869565216,0.043478260869565216
San Diego Metro,0.0,0.041666666666666664,0.041666666666666664
Los Angeles Metro,0.0,0.03773584905660377,0.03773584905660377
San Francisco Bay Area,0.05970149253731343,0.09612625538020086,0.03642476284288743
Philadelphia Metro,0.0,0.033707865168539325,0.033707865168539325
Phoenix Metro,0.0,0.030612244897959183,0.030612244897959183
Washington DC Metro,0.005076142131979695,0.035443037974683546,0.03036689584270385
Charlotte Metro,0.0,0.03007518796992481,0.03007518796992481
Chicago Metro,0.010869565217391304,0.03007518796992481,0.019205622752533506
Denver Metro,0.0,0.010638297872340425,0.010638297872340425
Detroit Metro,0.046511627906976744,0.012987012987012988,-0.03352461491996375
Houston Metro,0.03571428571428571,0.0,-0.03571428571428571
