metro_area,n,remote_share
Atlanta Metro,1189,0.0
Austin Metro,1269,0.0
Boston Metro,1736,0.0
Charlotte Metro,1231,0.0
Chicago Metro,1157,0.0
Columbus Metro,557,0.0
Dallas-Fort Worth Metro,2315,0.0
Denver Metro,814,0.0
Detroit Metro,723,0.0
Houston Metro,589,0.0
Los Angeles Metro,1818,0.0
Miami Metro,369,0.0
Minneapolis-Saint Paul,622,0.0
Nashville Metro,241,0.0
New York City Metro,2220,0.0
Philadelphia Metro,929,0.0
Phoenix Metro,803,0.0
Pittsburgh Metro,521,0.0
Portland Metro,167,0.0
Raleigh-Durham-Chapel Hill,617,0.0
Salt Lake City Metro,1898,0.0
San Diego Metro,535,0.0
San Francisco Bay Area,5483,0.0
Seattle Metro,2428,0.0
Tampa Bay Metro,317,0.0
Washington DC Metro,3389,0.0
