metro_area,hhi_2024,hhi_2026,hhi_delta
Atlanta Metro,0.2680788897005113,0.1658498552016039,-0.10222903449890741
Austin Metro,0.1910803537101115,0.2746730083234245,0.083592654613313
Boston Metro,0.32432132963988924,0.21949515241505807,-0.10482617722483117
Charlotte Metro,0.3185595567867036,0.1617389338006671,-0.15682062298603652
Chicago Metro,0.18005671077504723,0.33303182768952455,0.15297511691447732
Columbus Metro,0.3130193905817174,0.2892249527410208,-0.023794437840696625
Dallas-Fort Worth Metro,0.17939952437574322,0.2197285262855501,0.04032900190980687
Denver Metro,0.2639714625445898,0.26844726120416484,0.0044757986595750365
Detroit Metro,0.286100594916171,0.3152302243211334,0.029129629404962387
Houston Metro,0.5204081632653061,0.2587553539934492,-0.26165280927185697
Los Angeles Metro,0.2090858725761773,0.2815503737985048,0.07246450122232748
Miami Metro,0.385,0.1984126984126984,-0.1865873015873016
Minneapolis-Saint Paul,0.1488888888888889,0.22853769607016364,0.07964880718127473
Nashville Metro,0.45999999999999996,0.4026465028355388,-0.05735349716446114
New York City Metro,0.25,0.17078751451403593,-0.07921248548596407
Philadelphia Metro,0.14285714285714285,0.3071581870975887,0.16430104424044584
Phoenix Metro,0.23076923076923084,0.24531445231153687,0.01454522154230603
Pittsburgh Metro,0.24763705103969755,0.20967741935483875,-0.0379596316848588
Portland Metro,0.7448979591836734,0.28099173553719,-0.46390622364648343
Raleigh-Durham-Chapel Hill,0.3550295857988165,0.2077551020408164,-0.1472744837580001
Salt Lake City Metro,0.2986472424557752,0.2034095459659426,-0.09523769648983257
San Diego Metro,0.3188775510204081,0.3371913580246913,0.0183138070042832
San Francisco Bay Area,0.3265513229870548,0.2417884394895937,-0.08476288349746111
Seattle Metro,0.2670650618634795,0.25212890625,-0.014936155613479496
Tampa Bay Metro,0.3628808864265928,0.18693877551020416,-0.17594211091638862
Washington DC Metro,0.27465278672472876,0.2198301554238103,-0.05482263130091847
