loc_cat,ai_strict,j3_share,scope_terms,n
metro,0.10457612635176945,0.1422893481717011,1.180422547661844,33937
remote,0.11091373376262907,0.13083451202263083,1.2864438769845676,9007
multi_location,0.1373788453434471,0.1773231031543052,1.5061104087652761,2373
