metro_area,ai_strict_cap20_2024,ai_strict_cap20_2026,ai_strict_cap20_delta,j3_cap20_2024,j3_cap20_2026,j3_cap20_delta,ai_strict_delta,j3_share_labeled_delta
Atlanta Metro,0.010273972602739725,0.14838097284905796,0.13810700024631822,0.09744779582366589,0.102880658436214,0.005432862612548106,0.1411313105173492,0.003972082472480154
Austin Metro,0.01675977653631285,0.11714792670307278,0.10038815016675993,0.10357142857142858,0.1086770607196895,0.005105632148260916,0.09513935663941607,0.006954887218045103
Boston Metro,0.007633587786259542,0.11271591107138228,0.10508232328512274,0.07813842356808771,0.13762486126526083,0.059486437697173114,0.10361421221761453,0.06353725878575073
Charlotte Metro,0.006557377049180328,0.10823871120138238,0.10168133415220205,0.09523809523809523,0.07718977674701899,-0.018048318491076243,0.09579843123676605,-0.026551226551226548
Chicago Metro,0.007054148037754594,0.100437545762022,0.0933833977242674,0.08978881201103424,0.10116731517509728,0.011378503164063039,0.09339115940239535,0.013273451161830277
Columbus Metro,0.02142857142857143,0.07878473193905454,0.05735616051048311,0.08256880733944955,0.12600842435924894,0.0434396170197994,0.05397537830212875,0.02457404980340759
Dallas-Fort Worth Metro,0.00785279852182616,0.12425726833492032,0.11640446981309416,0.08430174313764777,0.08076616121308858,-0.003535581924559189,0.11026475628428599,-0.0028540760162582557
Denver Metro,0.0039603960396039604,0.06328404232952554,0.05932364628992158,0.08261242303795495,0.11869436201780416,0.03608193897984921,0.05660589592366971,0.03818588744153298
Detroit Metro,0.011111111111111112,0.06530769483737908,0.05419658372626797,0.15358361774744028,0.10175751874704378,-0.0518260990003965,0.052512678653757486,-0.05134719602220067
Houston Metro,0.008583690987124463,0.06897584946365434,0.06039215847652988,0.13114754098360656,0.11764705882352941,-0.013500482160077154,0.06102581665294345,-0.013500482160077154
Los Angeles Metro,0.01564245810055866,0.08877747220608045,0.0731350141055218,0.08939469470376749,0.18346808980271698,0.09407339509894949,0.06641914191419143,0.10903401774569388
Miami Metro,0.009174311926605505,0.13821138211382114,0.12903707018721564,0.06989247311827956,0.11029411764705882,0.04040164452877926,0.12903707018721564,0.04040164452877926
Minneapolis-Saint Paul,0.003861003861003861,0.10445709384232162,0.10059608998131775,0.08372093023255814,0.12962962962962962,0.045908699397071484,0.09904773682908731,0.046296296296296294
Nashville Metro,0.0,0.0744047619047619,0.0744047619047619,0.037037037037037035,0.12264150943396226,0.08560447239692523,0.07468879668049792,0.08560447239692523
New York City Metro,0.014925373134328358,0.13953148895959933,0.12460611582527097,0.044444444444444446,0.12653894929708354,0.08209450485263908,0.11615570794675271,0.07539026629935722
Philadelphia Metro,0.0091324200913242,0.09220310922286451,0.08307068913154031,0.06832298136645963,0.17156498918221422,0.10324200781575459,0.08129509024004089,0.11546268656716419
Phoenix Metro,0.0030959752321981426,0.07828655362901937,0.07519057839682124,0.06513409961685823,0.1460832745236415,0.08094917490678327,0.07313226956984961,0.07925864796093804
Pittsburgh Metro,0.03398058252427184,0.0869204950702748,0.05293991254600296,0.1111111111111111,0.13093093093093092,0.01981981981981981,0.046633620930622594,0.017460317460317454
Portland Metro,0.008620689655172414,0.07784431137724551,0.0692236217220731,0.054945054945054944,0.17142857142857143,0.11648351648351649,0.0692236217220731,0.11648351648351649
Raleigh-Durham-Chapel Hill,0.0,0.11647684575220808,0.11647684575220808,0.09424083769633508,0.1090686274509804,0.014827789754645312,0.11507293354943274,0.012058374902090122
Salt Lake City Metro,0.006472491909385114,0.13730175297339475,0.13082926106400963,0.07585515958208103,0.1254897934739832,0.049634633891902175,0.12405795894574675,0.04061523672194184
San Diego Metro,0.0,0.07231219602615631,0.07231219602615631,0.1222707423580786,0.20085188073669685,0.07858113837861826,0.059813084112149535,0.14863123993558774
San Francisco Bay Area,0.01959815360484429,0.13833842909866984,0.11874027549382554,0.12625423788360532,0.15622798753526623,0.029973749651660914,0.11184417627158667,0.04875416986451264
Seattle Metro,0.02025745257452574,0.11425911304056133,0.09400166046603559,0.10276875420464616,0.18820413459914206,0.0854353803944959,0.06863495440335197,0.13617972210902685
Tampa Bay Metro,0.009345794392523364,0.15411255411255412,0.14476675972003075,0.0898876404494382,0.0962962962962963,0.006408655846858097,0.1452283380995902,0.006408655846858097
Washington DC Metro,0.007267441860465116,0.06601034016591474,0.058742898305449626,0.07991644706844458,0.12034376748871427,0.04042732042026968,0.060224282937934595,0.04249025144547533
