cohort,n_ai_postings,hedge_near_ai_total,firm_near_ai_total,hedge_far_ai_total,firm_far_ai_total,aspiration_share_near_ai,aspiration_share_far_ai,diff_share_near_minus_far
2024_pooled,214,2,0,28,27,1.0,0.509090909090909,0.49090909090909096
2024_arshkon_only,61,0,0,11,8,0.0,0.5789473684210527,-0.5789473684210527
2026_scraped,3543,98,97,318,809,0.5025641025641026,0.2821650399290151,0.22039906263508746
