uid,source,period,title,company_name_canonical,is_aggregator,company_industry,seniority_final,yoe_min_years_llm,ghost_assessment_llm,tech_count,scope_kitchen_count,senior_scope_n,kitchen_sink_score,hedging_count,firm_count,aspiration_share,yoe_rule_max,cred_imp_entry_10y,cred_imp_nodeg_ms,ghost_score
linkedin_li-4381304924,scraped,2026-03,Senior Software Engineer III,Pacific Northwest National Laboratory,False,Research Services,mid-senior,1,realistic,36,9,4,324,0,4,0.0,16,0,0,24.667145328965702
linkedin_li-4400274619,scraped,2026-04,"Software Engineer, Artificial Intelligence",DataVisor,False,Software Development,unknown,2,realistic,15,11,5,165,1,0,1.0,0,0,0,17.11468221233321
asaniczka_e99d125fb164feb5,kaggle_asaniczka,2024-01,Fullstack .NET Architect,Intellectt Inc,False,,mid-senior,1,inflated,17,10,3,170,0,1,0.0,1,0,0,16.246800748629582
linkedin_li-4391484360,scraped,2026-03,"Software Engineer, Routing Platform",PayPal,False,"Software Development, Financial Services, and Technology, Information and Internet",entry,1,realistic,9,9,4,81,0,1,0.0,25,1,0,15.937457564226492
linkedin_li-4388757039,scraped,2026-03,Full Stack Engineer,MOJO Family of Brands,False,Retail,unknown,1,realistic,16,9,5,144,1,0,1.0,0,0,0,15.841746232664391
linkedin_li-4394704670,scraped,2026-04,Software Engineer II - Identity & Access Management,Klaviyo,False,Marketing Services,unknown,2,realistic,18,8,4,144,1,0,1.0,0,0,0,14.756265503232955
linkedin_li-4398256187,scraped,2026-04,Software Engineer II - Identity & Access Management,myGwork - LGBTQ+ Business Community,False,Software Development,unknown,2,realistic,18,8,4,144,1,1,0.5,0,0,0,14.756265503232955
linkedin_li-4387785425,scraped,2026-03,Senior Software Engineer - Cloud Fullstack,Rivian and Volkswagen Group Technologies,False,Software Development,mid-senior,2,realistic,22,8,3,176,0,0,,2,0,0,14.610496742820674
linkedin_li-4391618201,scraped,2026-03,Full-Stack Platform Engineer - Agentic AI,Peraton Labs,False,Civil Engineering,mid-senior,1,realistic,26,6,3,156,0,1,0.0,0,0,0,13.398176762183702
linkedin_li-4390145477,scraped,2026-03,Data Engineer,Citian,False,"Technology, Information and Internet",unknown,2,realistic,10,11,5,110,0,0,,0,0,0,12.780802265581539
linkedin_li-4391760959,scraped,2026-03,Data Engineer,Citian,False,Software Development,unknown,2,realistic,10,10,5,100,0,0,,0,0,0,12.17464227526305
linkedin_li-4385054752,scraped,2026-04,Software Engineer II,Alarm.com,False,IT Services and IT Consulting,mid-senior,2,realistic,13,9,4,117,0,1,0.0,0,0,0,12.119633529373042
linkedin_li-4387658697,scraped,2026-04,"Software Engineer, AML Engineering",SoFi,False,Financial Services,unknown,2,realistic,12,8,4,96,1,0,1.0,0,0,0,11.84669754970422
linkedin_li-4394788567,scraped,2026-04,"Software Engineer, New College Grad - 2026, Atlanta",Visa,False,IT Services and IT Consulting,entry,,realistic,21,6,3,126,0,0,,0,0,0,11.579696791228242
linkedin_li-4394794542,scraped,2026-04,"Software Engineer, New College Grad - 2026, Bellevue, WA",Visa,False,IT Services and IT Consulting,entry,,realistic,21,6,3,126,0,0,,0,0,0,11.579696791228242
linkedin_li-4394796021,scraped,2026-04,"Software Engineer, New College Grad - 2026, Foster City",Visa,False,IT Services and IT Consulting,entry,,realistic,21,6,3,126,0,0,,0,0,0,11.579696791228242
linkedin_li-4394777695,scraped,2026-04,"Software Engineer, New College Grad - 2026, Highlands Ranch, CO",Visa,False,IT Services and IT Consulting,entry,0,realistic,21,6,3,126,0,0,,0,0,0,11.579696791228242
linkedin_li-4388163661,scraped,2026-03,Full-Stack Software Engineer (New Grad),Nue.io,False,Software Development,entry,,realistic,15,6,4,90,1,1,0.5,0,0,0,11.483001555513129
linkedin_li-4389413979,scraped,2026-03,Software Development Engineer,Booz Allen Hamilton,False,Software Development,unknown,1,inflated,18,5,3,90,0,0,,0,0,0,11.397520826081692
asaniczka_355edada9ef4569c,kaggle_asaniczka,2024-01,Sr. Systems Engineer - IaaS,Visa,False,,mid-senior,2,inflated,18,5,3,90,0,0,,5,0,0,11.397520826081692
