period,company_name_canonical,n_postings,mean_pairwise_cosine,median_pairwise_cosine,saturation_flag
2024,"Syms Strategic Group, LLC (SSG)",117,0.8949142451243232,0.9403850551566083,True
2024,KPMG US,61,0.7844277089256464,0.9247508326458987,False
2024,Forward,18,0.3503122951824861,0.2985530161286683,False
2024,Google,33,0.3218026635400459,0.23001058299224425,False
2024,"Onyx Point, LLC.",17,0.31204697561629535,0.25837564998563906,False
2024,GliaCell Technologies,26,0.2948846291773619,0.24270580944084394,False
2024,Five Cubes,24,0.29392944739848414,0.30801216426636835,False
2024,Infosys,42,0.28797927586072436,0.11014684537541045,False
2024,Ball Aerospace,16,0.28027074010977787,0.23372484799882404,False
2024,Odyssey Systems,19,0.2785063042765446,0.17406038864876355,False
2024,Garmin,16,0.276381131610209,0.16090703130395329,False
2024,Sierra Space,23,0.2707666037058585,0.2044119403819381,False
2024,Leonardo DRS,19,0.25524832565836614,0.24166356552473178,False
2024,General Dynamics Mission Systems,18,0.25130543181731907,0.21413429599679934,False
2024,Wells Fargo,37,0.24487417881828802,0.185673279787486,False
2024,NiSUS Technologies Corporation,22,0.2422763188177234,0.1950825763606611,False
2024,"Conch Technologies, Inc",44,0.2401799042144203,0.08063975107029385,False
2024,Palo Alto Networks,99,0.2356831121604198,0.09047965678943226,False
2024,MassMutual,18,0.235349276673709,0.18785070843763416,False
2024,Captivation,41,0.23044447976332197,0.195255913324614,False
2024,SpaceX,40,0.23033485157915937,0.1990882154373107,False
2024,Columbia Technology Partners,28,0.22976761368878554,0.1448262608819329,False
2024,Capital One,709,0.21493607574210943,0.17526952544007754,False
2024,MillenniumSoft Inc,34,0.2058132867646572,0.14210447106681712,False
2024,BLUE ORIGIN,106,0.20154556333686235,0.16715833191803792,False
2024,CrowdDoing,27,0.1988558544724351,0.14588422168830442,False
2024,ManTech,39,0.19804828092136267,0.16351137451859613,False
2024,The Trade Desk,15,0.19503008238003663,0.14093201241173162,False
2024,KLA,24,0.19165249669957743,0.11285651954743142,False
2024,TikTok,15,0.19058373978986706,0.10358006510854277,False
2024,ClickJobs.io,150,0.18708457032575768,0.11242033517335107,False
2024,"Systemart, LLC",28,0.18677363723118526,0.13720807200460447,False
2024,Jobs for Humanity,184,0.1865916345486339,0.10333596490372433,False
2024,Discover Financial Services,96,0.18475353013032378,0.14240964364256817,False
2024,Anduril Industries,52,0.18422142423805296,0.13446269039506015,False
2024,Dezign Concepts,16,0.18220068761055463,0.10958802461195548,False
2024,Draper,17,0.1813331502565114,0.14110061027331852,False
2024,Visa,17,0.1788699752294921,0.15975883062535973,False
2024,Deloitte,22,0.17805139488718763,0.10768612359840493,False
2024,Intuitive,17,0.17591766487371338,0.14587994209495708,False
2024,PETADATA,17,0.1735024795956298,0.0963066497451573,False
2024,L3Harris Technologies,70,0.17257050955419262,0.15462937944518726,False
2024,People Tech Group Inc,17,0.16850892614999957,0.06772556088227445,False
2024,General Dynamics Information Technology,21,0.16846215208558568,0.14562102555772938,False
2024,IERUS Technologies Inc,18,0.16717870153353973,0.13613808265945962,False
2024,Belay Technologies,51,0.16627106925486856,0.11018795540939638,False
2024,"Farfield Systems, Inc",23,0.16509415463858246,0.10140660791433989,False
2024,Medtronic,28,0.1643066678102539,0.13183395332308562,False
