uid,cluster,period_bucket,seniority_final,source
arshkon_3475933396,0,2024,mid-senior,kaggle_arshkon
arshkon_3533320307,1,2024,mid-senior,kaggle_arshkon
arshkon_3586167732,1,2024,mid-senior,kaggle_arshkon
arshkon_3728459637,1,2024,mid-senior,kaggle_arshkon
arshkon_3742692445,1,2024,mid-senior,kaggle_arshkon
arshkon_3815847830,1,2024,mid-senior,kaggle_arshkon
arshkon_3827923756,1,2024,mid-senior,kaggle_arshkon
arshkon_3833295504,0,2024,mid-senior,kaggle_arshkon
arshkon_3840166122,1,2024,mid-senior,kaggle_arshkon
arshkon_3841003722,1,2024,mid-senior,kaggle_arshkon
arshkon_3848811947,1,2024,mid-senior,kaggle_arshkon
arshkon_3848960304,1,2024,mid-senior,kaggle_arshkon
arshkon_3855427832,1,2024,mid-senior,kaggle_arshkon
arshkon_3879283271,1,2024,mid-senior,kaggle_arshkon
arshkon_3884429809,1,2024,mid-senior,kaggle_arshkon
arshkon_3884430585,1,2024,mid-senior,kaggle_arshkon
arshkon_3884430586,3,2024,mid-senior,kaggle_arshkon
arshkon_3884430909,1,2024,mid-senior,kaggle_arshkon
arshkon_3884431567,1,2024,mid-senior,kaggle_arshkon
arshkon_3884431599,0,2024,mid-senior,kaggle_arshkon
arshkon_3884432524,1,2024,mid-senior,kaggle_arshkon
arshkon_3884432578,1,2024,mid-senior,kaggle_arshkon
arshkon_3884435101,3,2024,mid-senior,kaggle_arshkon
arshkon_3884435224,0,2024,mid-senior,kaggle_arshkon
arshkon_3884435766,1,2024,mid-senior,kaggle_arshkon
arshkon_3884436007,3,2024,mid-senior,kaggle_arshkon
arshkon_3884436034,0,2024,mid-senior,kaggle_arshkon
arshkon_3884436145,1,2024,mid-senior,kaggle_arshkon
arshkon_3884436740,0,2024,director,kaggle_arshkon
arshkon_3884436924,1,2024,mid-senior,kaggle_arshkon
arshkon_3884437311,1,2024,mid-senior,kaggle_arshkon
arshkon_3884437415,1,2024,mid-senior,kaggle_arshkon
arshkon_3884437436,1,2024,mid-senior,kaggle_arshkon
arshkon_3884438451,1,2024,mid-senior,kaggle_arshkon
arshkon_3884439547,1,2024,mid-senior,kaggle_arshkon
arshkon_3884439566,1,2024,mid-senior,kaggle_arshkon
arshkon_3884439694,1,2024,mid-senior,kaggle_arshkon
arshkon_3884440371,1,2024,mid-senior,kaggle_arshkon
arshkon_3884440505,1,2024,mid-senior,kaggle_arshkon
arshkon_3884440867,0,2024,mid-senior,kaggle_arshkon
arshkon_3884440937,0,2024,mid-senior,kaggle_arshkon
arshkon_3884442045,1,2024,mid-senior,kaggle_arshkon
arshkon_3884442838,1,2024,mid-senior,kaggle_arshkon
arshkon_3884443757,1,2024,mid-senior,kaggle_arshkon
arshkon_3884444162,1,2024,mid-senior,kaggle_arshkon
arshkon_3884444422,1,2024,mid-senior,kaggle_arshkon
arshkon_3884448485,1,2024,mid-senior,kaggle_arshkon
arshkon_3884450322,1,2024,mid-senior,kaggle_arshkon
arshkon_3884498742,1,2024,mid-senior,kaggle_arshkon
arshkon_3884801458,1,2024,mid-senior,kaggle_arshkon
arshkon_3884802259,1,2024,mid-senior,kaggle_arshkon
arshkon_3884804043,1,2024,mid-senior,kaggle_arshkon
arshkon_3884805078,1,2024,mid-senior,kaggle_arshkon
arshkon_3884805573,1,2024,mid-senior,kaggle_arshkon
arshkon_3884806442,1,2024,mid-senior,kaggle_arshkon
arshkon_3884816373,1,2024,mid-senior,kaggle_arshkon
arshkon_3884818241,0,2024,mid-senior,kaggle_arshkon
arshkon_3884820634,3,2024,mid-senior,kaggle_arshkon
arshkon_3884820659,1,2024,mid-senior,kaggle_arshkon
arshkon_3884821376,3,2024,mid-senior,kaggle_arshkon
arshkon_3884821423,1,2024,mid-senior,kaggle_arshkon
arshkon_3884825494,1,2024,director,kaggle_arshkon
arshkon_3884825974,1,2024,mid-senior,kaggle_arshkon
arshkon_3884827516,0,2024,mid-senior,kaggle_arshkon
arshkon_3884829470,1,2024,mid-senior,kaggle_arshkon
arshkon_3884831136,1,2024,mid-senior,kaggle_arshkon
arshkon_3884831173,1,2024,mid-senior,kaggle_arshkon
arshkon_3884836204,3,2024,mid-senior,kaggle_arshkon
arshkon_3884836571,0,2024,mid-senior,kaggle_arshkon
arshkon_3884844682,1,2024,mid-senior,kaggle_arshkon
arshkon_3884848102,1,2024,mid-senior,kaggle_arshkon
arshkon_3884853913,1,2024,mid-senior,kaggle_arshkon
arshkon_3884854235,1,2024,mid-senior,kaggle_arshkon
arshkon_3884855386,1,2024,mid-senior,kaggle_arshkon
arshkon_3884855862,3,2024,mid-senior,kaggle_arshkon
arshkon_3884855863,1,2024,mid-senior,kaggle_arshkon
arshkon_3884856274,1,2024,mid-senior,kaggle_arshkon
arshkon_3884856352,1,2024,mid-senior,kaggle_arshkon
arshkon_3884857165,1,2024,mid-senior,kaggle_arshkon
arshkon_3884859038,1,2024,mid-senior,kaggle_arshkon
arshkon_3884859455,0,2024,mid-senior,kaggle_arshkon
arshkon_3884915616,1,2024,mid-senior,kaggle_arshkon
arshkon_3884917574,1,2024,mid-senior,kaggle_arshkon
arshkon_3884919744,1,2024,mid-senior,kaggle_arshkon
arshkon_3884925055,1,2024,mid-senior,kaggle_arshkon
arshkon_3884926658,1,2024,mid-senior,kaggle_arshkon
arshkon_3884927198,1,2024,mid-senior,kaggle_arshkon
arshkon_3884928295,1,2024,mid-senior,kaggle_arshkon
arshkon_3884930730,3,2024,mid-senior,kaggle_arshkon
arshkon_3884940548,1,2024,mid-senior,kaggle_arshkon
arshkon_3884944271,1,2024,mid-senior,kaggle_arshkon
arshkon_3884989898,0,2024,mid-senior,kaggle_arshkon
arshkon_3884993199,0,2024,mid-senior,kaggle_arshkon
arshkon_3884993215,3,2024,mid-senior,kaggle_arshkon
arshkon_3884994032,0,2024,mid-senior,kaggle_arshkon
arshkon_3885105233,3,2024,mid-senior,kaggle_arshkon
arshkon_3885107951,1,2024,mid-senior,kaggle_arshkon
arshkon_3885109960,1,2024,mid-senior,kaggle_arshkon
arshkon_3885804881,0,2024,mid-senior,kaggle_arshkon
arshkon_3885805678,1,2024,mid-senior,kaggle_arshkon
arshkon_3885805688,1,2024,mid-senior,kaggle_arshkon
arshkon_3885805701,1,2024,mid-senior,kaggle_arshkon
arshkon_3885806686,1,2024,mid-senior,kaggle_arshkon
arshkon_3885807498,1,2024,mid-senior,kaggle_arshkon
arshkon_3885808494,1,2024,mid-senior,kaggle_arshkon
arshkon_3885809515,1,2024,mid-senior,kaggle_arshkon
arshkon_3885810351,1,2024,mid-senior,kaggle_arshkon
arshkon_3885812447,1,2024,mid-senior,kaggle_arshkon
arshkon_3885816104,2,2024,mid-senior,kaggle_arshkon
arshkon_3885816115,0,2024,mid-senior,kaggle_arshkon
arshkon_3885820475,3,2024,mid-senior,kaggle_arshkon
arshkon_3885824753,1,2024,mid-senior,kaggle_arshkon
arshkon_3885825905,1,2024,mid-senior,kaggle_arshkon
arshkon_3885828920,0,2024,mid-senior,kaggle_arshkon
arshkon_3885829189,1,2024,mid-senior,kaggle_arshkon
arshkon_3885832533,0,2024,mid-senior,kaggle_arshkon
arshkon_3885833582,0,2024,mid-senior,kaggle_arshkon
arshkon_3885841124,1,2024,mid-senior,kaggle_arshkon
arshkon_3885847461,1,2024,mid-senior,kaggle_arshkon
arshkon_3885849719,0,2024,mid-senior,kaggle_arshkon
arshkon_3885852888,1,2024,mid-senior,kaggle_arshkon
arshkon_3885853938,1,2024,mid-senior,kaggle_arshkon
arshkon_3885854922,1,2024,mid-senior,kaggle_arshkon
arshkon_3885855602,1,2024,mid-senior,kaggle_arshkon
arshkon_3885855733,1,2024,mid-senior,kaggle_arshkon
arshkon_3885857598,1,2024,mid-senior,kaggle_arshkon
arshkon_3885857709,1,2024,mid-senior,kaggle_arshkon
arshkon_3885859909,1,2024,mid-senior,kaggle_arshkon
arshkon_3886204594,1,2024,mid-senior,kaggle_arshkon
arshkon_3886215674,1,2024,mid-senior,kaggle_arshkon
arshkon_3886446560,1,2024,mid-senior,kaggle_arshkon
arshkon_3886450759,1,2024,mid-senior,kaggle_arshkon
arshkon_3886451403,1,2024,mid-senior,kaggle_arshkon
arshkon_3886453101,1,2024,mid-senior,kaggle_arshkon
arshkon_3886453305,1,2024,mid-senior,kaggle_arshkon
arshkon_3886458575,1,2024,mid-senior,kaggle_arshkon
arshkon_3886460512,1,2024,mid-senior,kaggle_arshkon
arshkon_3886476850,1,2024,mid-senior,kaggle_arshkon
arshkon_3886483712,2,2024,mid-senior,kaggle_arshkon
arshkon_3886484678,1,2024,mid-senior,kaggle_arshkon
arshkon_3886485329,1,2024,mid-senior,kaggle_arshkon
arshkon_3886488846,1,2024,mid-senior,kaggle_arshkon
arshkon_3886807618,0,2024,mid-senior,kaggle_arshkon
arshkon_3886810765,0,2024,mid-senior,kaggle_arshkon
arshkon_3886811786,0,2024,mid-senior,kaggle_arshkon
arshkon_3886812164,0,2024,mid-senior,kaggle_arshkon
arshkon_3886815965,0,2024,mid-senior,kaggle_arshkon
arshkon_3886819085,0,2024,mid-senior,kaggle_arshkon
arshkon_3886819981,3,2024,mid-senior,kaggle_arshkon
arshkon_3886820179,0,2024,mid-senior,kaggle_arshkon
arshkon_3886820908,1,2024,mid-senior,kaggle_arshkon
arshkon_3886820920,0,2024,mid-senior,kaggle_arshkon
arshkon_3886822572,0,2024,mid-senior,kaggle_arshkon
arshkon_3886823264,0,2024,mid-senior,kaggle_arshkon
arshkon_3886823508,0,2024,mid-senior,kaggle_arshkon
arshkon_3886824450,0,2024,mid-senior,kaggle_arshkon
arshkon_3886824500,0,2024,mid-senior,kaggle_arshkon
arshkon_3886824506,0,2024,mid-senior,kaggle_arshkon
arshkon_3886824626,1,2024,mid-senior,kaggle_arshkon
arshkon_3886825021,0,2024,mid-senior,kaggle_arshkon
arshkon_3886825474,0,2024,mid-senior,kaggle_arshkon
arshkon_3886826295,0,2024,mid-senior,kaggle_arshkon
arshkon_3886826307,0,2024,mid-senior,kaggle_arshkon
arshkon_3886826313,0,2024,mid-senior,kaggle_arshkon
arshkon_3886826322,0,2024,mid-senior,kaggle_arshkon
arshkon_3886826327,0,2024,mid-senior,kaggle_arshkon
arshkon_3886826340,0,2024,mid-senior,kaggle_arshkon
arshkon_3886826346,3,2024,mid-senior,kaggle_arshkon
arshkon_3886827120,3,2024,mid-senior,kaggle_arshkon
arshkon_3886837532,0,2024,mid-senior,kaggle_arshkon
arshkon_3886845515,1,2024,mid-senior,kaggle_arshkon
arshkon_3886847226,1,2024,mid-senior,kaggle_arshkon
arshkon_3886848110,1,2024,mid-senior,kaggle_arshkon
arshkon_3886852887,1,2024,mid-senior,kaggle_arshkon
arshkon_3886854491,1,2024,mid-senior,kaggle_arshkon
arshkon_3886858353,1,2024,mid-senior,kaggle_arshkon
arshkon_3886866123,1,2024,mid-senior,kaggle_arshkon
arshkon_3886872406,3,2024,mid-senior,kaggle_arshkon
arshkon_3886880699,1,2024,mid-senior,kaggle_arshkon
arshkon_3886880758,1,2024,mid-senior,kaggle_arshkon
arshkon_3886881050,1,2024,mid-senior,kaggle_arshkon
arshkon_3886881338,3,2024,mid-senior,kaggle_arshkon
arshkon_3886882363,1,2024,mid-senior,kaggle_arshkon
arshkon_3886882430,1,2024,mid-senior,kaggle_arshkon
arshkon_3886882436,1,2024,mid-senior,kaggle_arshkon
