label,period,boundary,n_neg_associate,n_pos_entry,n_total,auc_mean,auc_std,status,n_neg_mid-senior,n_pos_associate,n_neg_director,n_pos_mid-senior,n_pos_s4,n_neg_j3
primary,2024,associate_vs_entry,39.0,375.0,414,0.559047619047619,0.07071276252969115,ok,,,,,,
primary,2024,mid-senior_vs_associate,,,12763,0.7360720778237899,0.10022221983440466,ok,12724.0,39.0,,,,
primary,2024,director_vs_mid-senior,,,12823,0.6776214284065244,0.0630957747887049,ok,,,99.0,12724.0,,
primary,2026,associate_vs_entry,51.0,601.0,652,0.6133347107438016,0.05443255080467189,ok,,,,,,
primary,2026,mid-senior_vs_associate,,,6103,0.8200213370921823,0.0300748500605859,ok,6052.0,51.0,,,,
primary,2026,director_vs_mid-senior,,,6164,0.6806392343478264,0.03608099927366418,ok,,,112.0,6052.0,,
no_aggregator,2024,associate_vs_entry,38.0,348.0,386,0.5505560485063591,0.06661157393857949,ok,,,,,,
no_aggregator,2024,mid-senior_vs_associate,,,10570,0.7301260175251632,0.06679676960128153,ok,10532.0,38.0,,,,
no_aggregator,2024,director_vs_mid-senior,,,10606,0.6800114446462598,0.04152342335380507,ok,,,74.0,10532.0,,
no_aggregator,2026,associate_vs_entry,47.0,507.0,554,0.6458034038697987,0.046408519306647564,ok,,,,,,
no_aggregator,2026,mid-senior_vs_associate,,,5240,0.839953694173848,0.04960601000153157,ok,5193.0,47.0,,,,
no_aggregator,2026,director_vs_mid-senior,,,5302,0.656163429757704,0.07718379145355837,ok,,,109.0,5193.0,,
J3_vs_S4_yoe,2024,j3_junior_vs_s4_senior_yoe_panel,,,7823,0.5484556796448103,0.012431361678781595,ok,,,,,7048.0,775.0
J3_vs_S4_yoe,2026,j3_junior_vs_s4_senior_yoe_panel,,,3892,0.688372345347296,0.026442166825877463,ok,,,,,3361.0,531.0
