archetype,period,n_pos_senior,n_neg_junior,auc_mean,auc_std,status
generic_software_engineer,2024,665,125,0.8552781954887217,0.045378425905696414,ok
generic_software_engineer,2026,291,165,0.8362485167277687,0.03617549866135885,ok
ai_ml_engineering,2024,121,17,0.755138888888889,0.15027469703147375,ok
ai_ml_engineering,2026,270,100,0.8598148148148148,0.05279759212200904,ok
frontend_react,2024,259,23,0.8813838612368026,0.03683774235821016,ok
frontend_react,2026,98,50,0.8644736842105264,0.06574335225443687,ok
java_spring_backend,2024,229,40,0.7167995169082125,0.03478576206854532,ok
java_spring_backend,2026,79,24,0.876,0.06474179484691477,ok
systems_engineering,2024,325,18,0.6702564102564103,0.1339001757568623,ok
systems_engineering,2026,37,10,,,insufficient_n
data_engineering,2024,314,46,0.8087102463446548,0.0831924267503873,ok
data_engineering,2026,153,46,0.8555292712066904,0.04879547326805873,ok
cloud_devops,2024,308,12,,,insufficient_n
cloud_devops,2026,125,31,0.9150476190476191,0.042482596143087706,ok
