source,tier,count,pct_of_source_swe,avg_confidence
kaggle_arshkon,regex,4477,89.2,1.0
kaggle_arshkon,title_lookup_llm,465,9.3,0.9
kaggle_arshkon,embedding_high,77,1.5,0.882
kaggle_asaniczka,regex,20411,87.9,1.0
kaggle_asaniczka,title_lookup_llm,2407,10.4,0.9
kaggle_asaniczka,embedding_high,395,1.7,0.897
scraped,regex,22697,94.2,1.0
scraped,title_lookup_llm,1076,4.5,0.9
scraped,embedding_high,322,1.3,0.896
