role,source,total,swe_count,swe_pct
Data Eng.,kaggle_arshkon,392,359,91.6
Data Eng.,kaggle_asaniczka,1473,1259,85.5
Data Eng.,scraped,2034,1888,92.8
ML Eng.,kaggle_arshkon,11,10,90.9
ML Eng.,kaggle_asaniczka,30,29,96.7
ML Eng.,scraped,267,249,93.3
ML (full),kaggle_arshkon,87,87,100.0
ML (full),kaggle_asaniczka,410,375,91.5
ML (full),scraped,751,738,98.3
DevOps,kaggle_arshkon,256,250,97.7
DevOps,kaggle_asaniczka,759,754,99.3
DevOps,scraped,1003,994,99.1
SRE,kaggle_arshkon,91,91,100.0
SRE,kaggle_asaniczka,279,277,99.3
SRE,scraped,413,412,99.8
Platform Eng.,kaggle_arshkon,54,49,90.7
Platform Eng.,kaggle_asaniczka,364,314,86.3
Platform Eng.,scraped,400,340,85.0
Cloud Eng.,kaggle_arshkon,107,105,98.1
Cloud Eng.,kaggle_asaniczka,213,205,96.2
Cloud Eng.,scraped,389,353,90.7
Security Eng.,kaggle_arshkon,249,4,1.6
Security Eng.,kaggle_asaniczka,677,3,0.4
Security Eng.,scraped,1272,40,3.1
QA Eng.,kaggle_arshkon,31,10,32.3
QA Eng.,kaggle_asaniczka,121,72,59.5
QA Eng.,scraped,187,80,42.8
Test Eng.,kaggle_arshkon,167,54,32.3
Test Eng.,kaggle_asaniczka,1256,414,33.0
Test Eng.,scraped,942,231,24.5
Soln. Arch.,kaggle_arshkon,133,3,2.3
Soln. Arch.,kaggle_asaniczka,754,4,0.5
Soln. Arch.,scraped,688,1,0.1
