period,seniority_3level,n,template_saturation_rate,kitchen_sink_tech_rate,kitchen_sink_org_rate,aspiration_saturated_rate,yoe_scope_mismatch_rate,company_repetition_rate,ghost_like_mean,ai_any_rate,ai_rate_per_1k_chars,median_within_company_nn_sim
2024-01,junior,121,0.21487603305785125,0.0,0.04132231404958678,0.2396694214876033,0.1487603305785124,0.09917355371900827,0.743801652892562,0.17355371900826447,0.09439990102579794,0.19557073921513646
2024-01,mid,1292,0.3142414860681115,0.0015479876160990713,0.0456656346749226,0.3204334365325077,0.0,0.14473684210526316,0.826625386996904,0.10294117647058823,0.06182532365224409,0.4607314196498069
2024-01,senior,20611,0.4703798942312358,0.014991994566008441,0.05395177332492358,0.3207025374799864,0.0,0.27970501188685654,1.1397312114890108,0.12692251710251806,0.07803911864215944,0.9581200101576979
2024-04,junior,770,0.19220779220779222,0.0,0.04285714285714286,0.3064935064935065,0.2662337662337662,0.15974025974025974,0.9675324675324676,0.12467532467532468,0.07540335799905291,0.3082853447395394
2024-04,mid,210,0.12380952380952381,0.004761904761904762,0.05714285714285714,0.4095238095238095,0.0,0.15714285714285714,0.7523809523809524,0.08571428571428572,0.03135410263163565,0.12902048588502563
2024-04,senior,2802,0.198429693076374,0.0028551034975017845,0.08172733761598858,0.4089935760171306,0.0,0.20092790863668808,0.892933618843683,0.139186295503212,0.09530400470147453,0.2999206226313523
2024-04,unknown,853,0.23563892145369286,0.0,0.023446658851113716,0.2966002344665885,0.0,0.24150058616647127,0.7971864009378663,0.10082063305978899,0.07905020291955464,0.34766753643324155
2026-03,junior,561,0.24420677361853832,0.0017825311942959,0.0481283422459893,0.32798573975044565,0.31194295900178254,0.2727272727272727,1.2067736185383244,0.2638146167557932,0.27669094468935435,0.41911179089387507
2026-03,mid,114,0.2894736842105263,0.0,0.07894736842105263,0.39473684210526316,0.0,0.41228070175438597,1.1754385964912282,0.18421052631578946,0.15035204771506366,0.36766758989302173
2026-03,senior,3379,0.3358981947321693,0.011837821840781295,0.21692808523231724,0.41047647232909146,0.0,0.4631547795205682,1.4382953536549274,0.38798461083160696,0.2156210311121436,0.5917857651073976
2026-03,unknown,264,0.5303030303030303,0.011363636363636364,0.23106060606060605,0.30303030303030304,0.0,0.5075757575757576,1.5833333333333333,0.5568181818181818,0.34313602365465995,0.9999999999999959
