source_group,comparison_group,top_n_titles,intersection,union,jaccard
asaniczka_associate,arshkon_entry,50,28,72,0.3888888888888889
asaniczka_associate,arshkon_associate,50,23,77,0.2987012987012987
asaniczka_associate,arshkon_mid_senior,50,31,69,0.4492753623188406
