source,seniority_final_source,entry_rows,source_swe_rows,share_of_source_swe
kaggle_arshkon,llm,83,4691,0.017693455553186955
kaggle_arshkon,title_keyword,92,4691,0.019612023022809635
kaggle_asaniczka,llm,92,18129,0.0050747421258756685
kaggle_asaniczka,title_keyword,112,18129,0.00617794693584864
scraped,llm,273,40881,0.00667791883760182
scraped,title_keyword,1002,40881,0.024510163645703385
