yoe_bin,rows,share
missing,280,0.3794037940379404
1,22,0.02981029810298103
2,109,0.14769647696476965
3,101,0.13685636856368563
4,31,0.04200542005420054
5,103,0.13956639566395665
6,22,0.02981029810298103
7,15,0.02032520325203252
8,37,0.05013550135501355
9,2,0.0027100271002710027
10+,16,0.02168021680216802
