source_group,posting_volume_quartile,rows,companies,min_company_postings,max_company_postings,j1_entry_share_all,j3_yoe_le2_share_known,seniority_unknown_share,ai_keyword_prevalence,tech_count_mean,aggregator_share
arshkon_2024,Q1,575,575,1,1,0.04173913043478261,0.16167664670658682,0.5130434782608696,0.05391304347826087,5.142608695652174,0.006956521739130435
arshkon_2024,Q2,575,575,1,1,0.04,0.14326647564469913,0.5026086956521739,0.06086956521739131,5.332173913043478,0.02608695652173913
arshkon_2024,Q3,714,575,1,2,0.0392156862745098,0.16326530612244897,0.5056022408963585,0.0700280112044818,5.1456582633053225,0.028011204481792718
arshkon_2024,Q4,2782,573,2,52,0.03414809489575845,0.14536199095022626,0.5215672178289,0.037742631200575125,5.394680086268871,0.14054636951833213
pooled_2024,Q1,1627,1627,1,1,0.019053472649047325,0.13394495412844037,0.4326982175783651,0.046097111247695145,5.019053472649047,0.016594960049170254
pooled_2024,Q2,1626,1626,1,1,0.023370233702337023,0.13913824057450627,0.4028290282902829,0.046125461254612546,5.0424354243542435,0.023370233702337023
pooled_2024,Q3,2657,1626,1,2,0.023334587881068874,0.13479452054794522,0.4091080165600301,0.042905532555513735,5.088821979676327,0.022958223560406475
pooled_2024,Q4,16865,1625,2,912,0.01440853839312185,0.10395827990082927,0.3755114141713608,0.03480581085087459,5.251289653127779,0.19252890601838127
scraped_2026,Q1,1985,1985,1,1,0.040806045340050376,0.16168148746968472,0.5944584382871536,0.24433249370277077,6.910831234256927,0.07707808564231738
scraped_2026,Q2,2059,1985,1,2,0.043710539096648855,0.13295729250604352,0.5740650801359883,0.25449247207382225,6.825643516270034,0.08742107819329771
scraped_2026,Q3,4609,1985,2,3,0.03775222390974181,0.15156675749318801,0.5545671512258624,0.26252983293556087,7.526144499891517,0.1180299414189629
scraped_2026,Q4,32228,1985,3,1711,0.028856894625791236,0.17738079126629674,0.5251023954325431,0.23172396673699888,7.272744197592156,0.18378428695544247
