source_group,period_year,archetype_name,rows,share
pooled_2024,2024,Enterprise Application Support,7239,0.33888862880951265
pooled_2024,2024,Java Dotnet Web Services,4221,0.19760310846870466
pooled_2024,2024,Defense Clearance Systems,2867,0.13421656289499556
pooled_2024,2024,Cloud DevOps Infrastructure,2133,0.0998548757080661
pooled_2024,2024,Embedded Firmware Systems,1600,0.07490286035297973
pooled_2024,2024,Product Backend Engineering,1475,0.06905107438790319
pooled_2024,2024,Large Employer Data Platforms,1162,0.05439820233135153
pooled_2024,2024,AI LLM Platforms,664,0.03108468704648659
scraped_2026,2026,Enterprise Application Support,2269,0.18327948303715672
scraped_2026,2026,AI LLM Platforms,2160,0.17447495961227788
scraped_2026,2026,Cloud DevOps Infrastructure,1974,0.1594507269789984
scraped_2026,2026,Product Backend Engineering,1883,0.15210016155088854
scraped_2026,2026,Java Dotnet Web Services,1696,0.1369951534733441
scraped_2026,2026,Embedded Firmware Systems,967,0.07810985460420032
scraped_2026,2026,Defense Clearance Systems,914,0.07382875605815832
scraped_2026,2026,Large Employer Data Platforms,517,0.041760904684975765
