sensitivity,definition,side,denominator_definition,source_group,denominator_rows,numerator_rows,share
primary_all_rows,J1,junior,all rows,arshkon_2024,4691,175,0.03730547857599659
primary_all_rows,J1,junior,all rows,asaniczka_2024,18129,204,0.01125268906172431
primary_all_rows,J1,junior,all rows,pooled_2024,22820,379,0.01660823838737949
primary_all_rows,J1,junior,all rows,scraped_2026,40881,1275,0.031188082483305204
primary_all_rows,J2,junior,all rows,arshkon_2024,4691,190,0.04050309102536773
primary_all_rows,J2,junior,all rows,asaniczka_2024,18129,228,0.012576534833691875
primary_all_rows,J2,junior,all rows,pooled_2024,22820,418,0.01831726555652936
primary_all_rows,J2,junior,all rows,scraped_2026,40881,1327,0.03246006702380079
primary_all_rows,J3,junior,YOE-known rows,arshkon_2024,2911,436,0.14977670903469598
primary_all_rows,J3,junior,YOE-known rows,asaniczka_2024,12834,1330,0.10363098020882032
primary_all_rows,J3,junior,YOE-known rows,pooled_2024,15745,1766,0.11216259129882503
primary_all_rows,J3,junior,YOE-known rows,scraped_2026,27581,4742,0.17192995177839818
primary_all_rows,J4,junior,YOE-known rows,arshkon_2024,2911,907,0.3115767777396084
primary_all_rows,J4,junior,YOE-known rows,asaniczka_2024,12834,3128,0.24372759856630824
primary_all_rows,J4,junior,YOE-known rows,pooled_2024,15745,4035,0.2562718323277231
primary_all_rows,J4,junior,YOE-known rows,scraped_2026,27581,9307,0.33744244226097675
primary_all_rows,S1,senior,all rows,arshkon_2024,4691,2077,0.44276273715625664
primary_all_rows,S1,senior,all rows,asaniczka_2024,18129,11518,0.6353356500634343
primary_all_rows,S1,senior,all rows,pooled_2024,22820,13595,0.595749342681858
primary_all_rows,S1,senior,all rows,scraped_2026,40881,17713,0.43328196472689023
primary_all_rows,S2,senior,all rows,arshkon_2024,4691,13,0.002771264122788318
primary_all_rows,S2,senior,all rows,asaniczka_2024,18129,92,0.0050747421258756685
primary_all_rows,S2,senior,all rows,pooled_2024,22820,105,0.004601226993865031
primary_all_rows,S2,senior,all rows,scraped_2026,40881,295,0.007216066143196106
primary_all_rows,S3,senior,all rows,arshkon_2024,4691,1804,0.38456619057770197
primary_all_rows,S3,senior,all rows,asaniczka_2024,18129,11137,0.6143195984334492
primary_all_rows,S3,senior,all rows,pooled_2024,22820,12941,0.5670902716914987
primary_all_rows,S3,senior,all rows,scraped_2026,40881,17289,0.42291039847361855
primary_all_rows,S4,senior,YOE-known rows,arshkon_2024,2911,1751,0.6015115080728272
primary_all_rows,S4,senior,YOE-known rows,asaniczka_2024,12834,8528,0.6644849618201651
primary_all_rows,S4,senior,YOE-known rows,pooled_2024,15745,10279,0.6528421721181328
primary_all_rows,S4,senior,YOE-known rows,scraped_2026,27581,15938,0.5778615713715964
exclude_aggregators,J1,junior,all rows,arshkon_2024,4261,164,0.03848861769537667
exclude_aggregators,J1,junior,all rows,asaniczka_2024,15186,188,0.01237982352166469
exclude_aggregators,J1,junior,all rows,pooled_2024,19447,352,0.018100478222862138
exclude_aggregators,J1,junior,all rows,scraped_2026,34081,1083,0.03177723658343359
exclude_aggregators,J2,junior,all rows,arshkon_2024,4261,178,0.04177423140107956
exclude_aggregators,J2,junior,all rows,asaniczka_2024,15186,212,0.013960226524430396
exclude_aggregators,J2,junior,all rows,pooled_2024,19447,390,0.020054507121921118
exclude_aggregators,J2,junior,all rows,scraped_2026,34081,1130,0.03315630409905813
exclude_aggregators,J3,junior,YOE-known rows,arshkon_2024,2667,414,0.15523059617547807
exclude_aggregators,J3,junior,YOE-known rows,asaniczka_2024,10854,1194,0.11000552791597568
exclude_aggregators,J3,junior,YOE-known rows,pooled_2024,13521,1608,0.11892611493232749
exclude_aggregators,J3,junior,YOE-known rows,scraped_2026,23713,4232,0.1784675072744908
exclude_aggregators,J4,junior,YOE-known rows,arshkon_2024,2667,847,0.31758530183727035
exclude_aggregators,J4,junior,YOE-known rows,asaniczka_2024,10854,2760,0.2542841348811498
exclude_aggregators,J4,junior,YOE-known rows,pooled_2024,13521,3607,0.26677020930404555
exclude_aggregators,J4,junior,YOE-known rows,scraped_2026,23713,8318,0.35077805423185593
exclude_aggregators,S1,senior,all rows,arshkon_2024,4261,1916,0.4496597042947665
exclude_aggregators,S1,senior,all rows,asaniczka_2024,15186,9241,0.6085210061899118
exclude_aggregators,S1,senior,all rows,pooled_2024,19447,11157,0.5737131691263434
exclude_aggregators,S1,senior,all rows,scraped_2026,34081,15583,0.45723423608462194
exclude_aggregators,S2,senior,all rows,arshkon_2024,4261,12,0.002816240319173903
exclude_aggregators,S2,senior,all rows,asaniczka_2024,15186,64,0.004214408007375214
exclude_aggregators,S2,senior,all rows,pooled_2024,19447,76,0.003908057798117962
exclude_aggregators,S2,senior,all rows,scraped_2026,34081,285,0.008362430679850943
exclude_aggregators,S3,senior,all rows,arshkon_2024,4261,1683,0.39497770476413985
exclude_aggregators,S3,senior,all rows,asaniczka_2024,15186,8906,0.5864612142763072
exclude_aggregators,S3,senior,all rows,pooled_2024,19447,10589,0.5445055792667249
exclude_aggregators,S3,senior,all rows,scraped_2026,34081,15251,0.44749273788914645
exclude_aggregators,S4,senior,YOE-known rows,arshkon_2024,2667,1583,0.5935508061492314
exclude_aggregators,S4,senior,YOE-known rows,asaniczka_2024,10854,7237,0.6667587985995946
