metric,period_year,period,source_group,rows,nonnull_rows,missing_share,mean,stddev,min_value,p50,p95,p99,max_value,zero_share
description_length,2024,2024-04,arshkon_2024,4691,4691,0.0,3305.6418674056704,2142.63582021482,68.0,2974.0,7210.0,9156.2,15768.0,0.0
description_length,2024,2024-01,asaniczka_2024,18129,18129,0.0,3881.4461911853937,2078.51377617501,70.0,3733.0,7458.199999999997,9513.24000000002,18817.0,0.0
description_length,2024,2024-01,pooled_2024,18129,18129,0.0,3881.4461911853937,2078.51377617501,70.0,3733.0,7458.199999999997,9513.24000000002,18817.0,0.0
description_length,2024,2024-04,pooled_2024,4691,4691,0.0,3305.6418674056704,2142.63582021482,68.0,2974.0,7210.0,9156.2,15768.0,0.0
description_length,2026,2026-03,scraped_2026,19777,19777,0.0,4977.4097183597105,2341.220841197583,102.0,4920.0,8881.400000000001,10895.400000000016,23658.0,0.0
description_length,2026,2026-04,scraped_2026,21104,21104,0.0,4850.7362111448065,2343.9157347159535,74.0,4803.0,8742.0,10811.820000000007,23161.0,0.0
company_size,2024,2024-04,arshkon_2024,4691,4646,0.009592837348113448,28528.140981489454,96222.15994839383,0.0,667.5,137377.0,596046.0,748312.0,0.006395224898742272
company_size,2024,2024-01,asaniczka_2024,18129,0,1.0,,,,,,,,0.0
company_size,2024,2024-01,pooled_2024,18129,0,1.0,,,,,,,,0.0
company_size,2024,2024-04,pooled_2024,4691,4646,0.009592837348113448,28528.140981489454,96222.15994839383,0.0,667.5,137377.0,596046.0,748312.0,0.006395224898742272
company_size,2026,2026-03,scraped_2026,19777,0,1.0,,,,,,,,0.0
company_size,2026,2026-04,scraped_2026,21104,0,1.0,,,,,,,,0.0
posting_age_days,2024,2024-04,arshkon_2024,4691,0,1.0,,,,,,,,0.0
posting_age_days,2024,2024-01,asaniczka_2024,18129,0,1.0,,,,,,,,0.0
posting_age_days,2024,2024-01,pooled_2024,18129,0,1.0,,,,,,,,0.0
posting_age_days,2024,2024-04,pooled_2024,4691,0,1.0,,,,,,,,0.0
posting_age_days,2026,2026-03,scraped_2026,19777,148,0.9925165596399859,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
