source_group,period_year,period,source,base_rows,archetype_labeled_rows,archetype_coverage
arshkon_2024,2024,2024-04,kaggle_arshkon,4691,4575,0.9752717970581966
asaniczka_2024,2024,2024-01,kaggle_asaniczka,18129,16786,0.925919797010315
scraped_2026,2026,2026-03,scraped,19777,6243,0.3156697173484351
scraped_2026,2026,2026-04,scraped,21104,6137,0.29079795299469297
