sensitivity,source_group,rows,description_length_mean,description_length_median,yoe_known_share,seniority_unknown_share,ai_keyword_prevalence,tech_count_mean
primary_all_rows,arshkon_2024,4691,3305.6418674056704,2974.0,0.6205499893412918,0.5167341718183757,0.048177360903858456,5.306544446813046
primary_all_rows,asaniczka_2024,18129,3881.4461911853937,3733.0,0.7079265265596558,0.35208781510287385,0.0347509515141486,5.170941585305312
primary_all_rows,pooled_2024,22820,3763.080806310254,3593.5,0.6899649430324277,0.3859333917616126,0.037510955302366346,5.198816827344435
primary_all_rows,scraped_2026,40881,4912.017049485091,4862.0,0.6746654925270908,0.5342579682493089,0.23695604314962943,7.261221594383699
exclude_aggregators,arshkon_2024,4261,3358.6421027927718,3030.0,0.6259094109364,0.508566064304154,0.0492842055855433,5.327622623797231
exclude_aggregators,asaniczka_2024,15186,3804.93138416963,3618.0,0.7147372580007902,0.37751876728565786,0.03443961543526933,4.924601606743053
exclude_aggregators,pooled_2024,19447,3707.145677996606,3501.0,0.6952743353730653,0.4062323237517355,0.037692189026585075,5.012906875096416
exclude_aggregators,scraped_2026,34081,5112.935506587248,5096.0,0.6957835744256331,0.50960945981632,0.24268654088788474,7.226548516768874
exclude_title_lookup_llm,arshkon_2024,4235,3335.6002361275087,3010.0,0.6212514757969303,0.5119244391971665,0.047933884297520664,5.419834710743801
exclude_title_lookup_llm,asaniczka_2024,16161,3932.6782377328136,3797.0,0.7092382897097952,0.34354309758059526,0.03465132108161623,5.389951116886332
exclude_title_lookup_llm,pooled_2024,20396,3808.701706216905,3653.0,0.6909688174151795,0.3785055893312414,0.03740929594038047,5.396156109040988
exclude_title_lookup_llm,scraped_2026,38722,4937.867336397913,4897.0,0.6757657145808584,0.5251794845307577,0.24048344610299055,7.361551572749342
company_cap_50,arshkon_2024,4687,3303.786643908684,2968.0,0.6204395135481118,0.5169618092596544,0.048218476637508,5.3016855131214
company_cap_50,asaniczka_2024,15045,3701.49086075108,3503.0,0.7111997341309405,0.3772681954137587,0.03595879029577933,5.022665337321369
company_cap_50,pooled_2024,19372,3598.5229196778855,3379.0,0.6897067933099319,0.41121205864133803,0.03897377658476151,5.087084451786083
company_cap_50,scraped_2026,31589,4710.512393554718,4607.0,0.6542467314571528,0.5371490075659249,0.23862737028712527,7.368007850834151
