period_year,desc_len_bin,rows,share
2024,0,568,0.024890446976336546
2024,500,1289,0.056485539000876425
2024,1000,1689,0.07401402278702893
2024,1500,1770,0.0775635407537248
2024,2000,1795,0.07865907099035933
2024,2500,1946,0.0852760736196319
2024,3000,1973,0.0864592462751972
2024,3500,2003,0.08777388255915863
2024,4000,1825,0.07997370727432077
2024,4500,1784,0.07817703768624014
2024,5000,1536,0.06730937773882559
2024,5500,1293,0.056660823838737946
2024,6000,1027,0.04500438212094654
2024,6500,711,0.031156879929886066
2024,7000,559,0.024496056091148116
2024,7500,372,0.016301489921121824
2024,8000,221,0.009684487291849255
2024,8500,141,0.0061787905346187555
2024,9000,102,0.004469763365468887
2024,9500,81,0.0035495179666958808
2024,10000,50,0.0021910604732690623
2024,10500,29,0.001270815074496056
2024,11000,16,0.0007011393514460999
2024,11500,6,0.00026292725679228745
2024,12000,9,0.0003943908851884312
2024,12500,5,0.00021910604732690623
2024,13000,4,0.00017528483786152498
2024,13500,3,0.00013146362839614373
2024,14000,2,8.764241893076249e-05
2024,14500,2,8.764241893076249e-05
2024,15000,9,0.0003943908851884312
2026,0,238,0.0058217753968836375
2026,500,959,0.023458330275678188
2026,1000,1521,0.03720554780949585
2026,1500,2129,0.052077982436828846
2026,2000,2252,0.05508671509992417
2026,2500,2314,0.056603312052053524
2026,3000,2545,0.06225385876079352
2026,3500,2903,0.07101098309728236
2026,4000,3118,0.07627014994740833
2026,4500,3343,0.08177392920916807
2026,5000,3395,0.08304591374966366
2026,5500,3380,0.08267899513221301
2026,6000,2791,0.06827132408698418
2026,6500,2472,0.06046818815586703
2026,7000,2035,0.04977862576747144
2026,7500,1595,0.03901567965558572
2026,8000,1246,0.03047870648956728
2026,8500,878,0.021476969741444682
2026,9000,569,0.013918446221961303
2026,9500,417,0.010200337565128054
2026,10000,240,0.005870697879210391
2026,10500,179,0.004378562168244417
2026,11000,112,0.0027396590102981826
2026,11500,91,0.0022259729458672735
2026,12000,43,0.001051833370025195
2026,12500,32,0.0007827597172280522
2026,13000,21,0.0005136860644309092
2026,13500,22,0.0005381473055942859
2026,14000,12,0.00029353489396051957
2026,14500,1,2.446124116337663e-05
2026,15000,28,0.0006849147525745457
