DATE,JTU5100JOL,period
2023-01-01,105,
2023-02-01,150,
2023-03-01,146,
2023-04-01,165,
2023-05-01,151,
2023-06-01,133,
2023-07-01,173,
2023-08-01,148,
2023-09-01,98,
2023-10-01,101,
2023-11-01,137,
2023-12-01,134,
2024-01-01,166,asaniczka
2024-02-01,135,
2024-03-01,146,
2024-04-01,98,arshkon
2024-05-01,109,
2024-06-01,93,
2024-07-01,124,
2024-08-01,103,
2024-09-01,114,
2024-10-01,177,
2024-11-01,107,
2024-12-01,98,
2025-01-01,105,
2025-02-01,130,
2025-03-01,117,
2025-04-01,152,
2025-05-01,99,
2025-06-01,106,
2025-07-01,185,
2025-08-01,141,
2025-09-01,119,
2025-10-01,118,
2025-11-01,78,
2025-12-01,104,
2026-01-01,118,scraped
