DATE,IHLIDXUSTPSOFTDEVE
2024-01-01,71.92
2024-02-01,71.25
2024-03-01,70.9
2024-04-01,70.4
2024-05-01,69.18
2024-06-01,69.9
2024-07-01,70.16
2024-08-01,68.53
2024-09-01,69.41
2024-10-01,68.66
2024-11-01,67.35
2024-12-01,67.46
2025-01-01,67.49
2025-02-01,64.89
2025-03-01,62.35
2025-04-01,63.56
2025-05-01,62.68
2025-06-01,65.36
2025-07-01,65.43
2025-08-01,66.14
2025-09-01,64.76
2025-10-01,64.97
2025-11-01,66.27
2025-12-01,66.91
2026-01-01,67.9
2026-02-01,69.87
