dataset,n_states,pearson_r,p_value,pearson_r_log,p_value_log
n_arshkon,47,0.9724,4.35e-30,0.9373,3.19e-22
n_asaniczka,50,0.9613,1.61e-28,0.9345,3.65e-23
n_scraped,30,0.981,1.68e-21,0.7835,3.05e-07
n_all_combined,50,0.9781,2.21e-34,0.9464,3.28e-25
