group,n,hedge_sum,firm_sum,aggregate_ratio,mean_post_ratio,median_post_ratio,ai_tool_rate,ai_domain_rate,text_source
AI,19695,11395,11369,1.0022869205734892,0.5396419801861365,0.0,0.6976897689768977,0.1205889819751206,raw_full
non_AI,14058,6729,8387,0.802313103612734,0.4770039604950163,0.0,0.0,0.0,raw_full
