group,n,hedge_sum,firm_sum,aggregate_ratio,mean_post_ratio,median_post_ratio,ai_tool_rate,ai_domain_rate,text_source
AI,1695,1225,1675,0.7313432835820896,0.5516189934605965,0.2,0.712094395280236,0.2,llm_core
non_AI,2288,1433,2766,0.5180766449746927,0.46065372665228493,0.0,0.0,0.0,llm_core
