representation,group,n,mean_cosine_distance,p90_cosine_distance
embedding,2024-01|junior,149,0.3622170686721802,0.48810333013534546
embedding,2024-01|mid,8,0.3625234067440033,0.4645730257034302
embedding,2024-01|senior,9264,0.35339733958244324,0.4978178143501282
embedding,2024-01|unknown,6153,0.37933677434921265,0.5414501428604126
embedding,2024-04|junior,175,0.3412366211414337,0.482914537191391
embedding,2024-04|mid,15,0.3530443012714386,0.438987672328949
embedding,2024-04|senior,2072,0.33344051241874695,0.4813694655895233
embedding,2024-04|unknown,2417,0.37164151668548584,0.5498742461204529
embedding,2026-03|junior,223,0.33107131719589233,0.4667873680591583
embedding,2026-03|mid,15,0.28932756185531616,0.3710731565952301
embedding,2026-03|senior,1927,0.3103218674659729,0.4301939904689789
embedding,2026-03|unknown,1814,0.33169665932655334,0.4602540135383606
embedding,2026-04|junior,62,0.3072262108325958,0.425152987241745
embedding,2026-04|mid,13,0.2542072534561157,0.3766709268093109
embedding,2026-04|senior,1026,0.30505502223968506,0.4316328763961792
embedding,2026-04|unknown,886,0.33010968565940857,0.46934157609939575
