source,period,seniority_final,metric,n,mean,median,p25,p75
kaggle_arshkon,2024-04,mid-senior,tech_count,5,0.2,0.0,0.0,0.0
kaggle_arshkon,2024-04,unknown,tech_count,6,1.0,0.5,0.0,1.75
kaggle_asaniczka,2024-01,director,tech_count,2,5.0,5.0,4.0,6.0
kaggle_asaniczka,2024-01,entry,tech_count,4,3.25,2.5,1.5,4.25
kaggle_asaniczka,2024-01,mid-senior,tech_count,1081,3.048103607770583,2.0,1.0,5.0
kaggle_asaniczka,2024-01,unknown,tech_count,562,2.4644128113879002,2.0,0.0,4.0
scraped,2026-03,director,tech_count,81,4.555555555555555,4.0,1.0,7.0
scraped,2026-03,entry,tech_count,331,2.812688821752266,2.0,1.0,4.0
scraped,2026-03,mid-senior,tech_count,4838,3.721372467961968,3.0,1.0,5.0
scraped,2026-03,unknown,tech_count,6830,3.227818448023426,3.0,1.0,5.0
scraped,2026-04,director,tech_count,78,4.0256410256410255,3.5,1.0,6.0
scraped,2026-04,entry,tech_count,291,3.120274914089347,2.0,1.0,5.0
scraped,2026-04,mid-senior,tech_count,4783,3.7108509303784234,3.0,1.0,6.0
scraped,2026-04,unknown,tech_count,6907,3.1491240770233095,2.0,1.0,5.0
kaggle_arshkon,2024-04,mid-senior,ai_count,5,0.2,0.0,0.0,0.0
kaggle_arshkon,2024-04,unknown,ai_count,6,0.3333333333333333,0.0,0.0,0.0
kaggle_asaniczka,2024-01,director,ai_count,2,0.0,0.0,0.0,0.0
kaggle_asaniczka,2024-01,entry,ai_count,4,0.5,0.0,0.0,0.5
kaggle_asaniczka,2024-01,mid-senior,ai_count,1081,0.08233117483811286,0.0,0.0,0.0
kaggle_asaniczka,2024-01,unknown,ai_count,562,0.060498220640569395,0.0,0.0,0.0
scraped,2026-03,director,ai_count,81,0.5802469135802469,0.0,0.0,0.0
scraped,2026-03,entry,ai_count,331,0.6012084592145015,0.0,0.0,0.0
scraped,2026-03,mid-senior,ai_count,4838,0.5713104588673006,0.0,0.0,1.0
scraped,2026-03,unknown,ai_count,6830,0.4559297218155198,0.0,0.0,0.0
scraped,2026-04,director,ai_count,78,0.7435897435897436,0.0,0.0,1.0
scraped,2026-04,entry,ai_count,291,0.6563573883161512,0.0,0.0,1.0
scraped,2026-04,mid-senior,ai_count,4783,0.5565544637256952,0.0,0.0,1.0
scraped,2026-04,unknown,ai_count,6907,0.5293180831040973,0.0,0.0,0.0
kaggle_arshkon,2024-04,mid-senior,soft_skill_count,5,0.6,0.0,0.0,0.0
