source,period,seniority_final,metric,n,mean,median,p25,p75
kaggle_arshkon,2024-04,associate,tech_count,14,1.7857142857142858,1.5,0.0,3.0
kaggle_arshkon,2024-04,director,tech_count,12,3.0,3.5,1.0,4.25
kaggle_arshkon,2024-04,entry,tech_count,162,2.382716049382716,2.0,1.0,3.0
kaggle_arshkon,2024-04,mid-senior,tech_count,1859,3.200645508337816,3.0,1.0,5.0
kaggle_arshkon,2024-04,unknown,tech_count,2138,2.636576239476146,2.0,1.0,4.0
kaggle_asaniczka,2024-01,associate,tech_count,7,1.8571428571428572,1.0,1.0,2.5
kaggle_asaniczka,2024-01,director,tech_count,42,1.7380952380952381,1.0,0.0,3.0
kaggle_asaniczka,2024-01,entry,tech_count,113,2.6106194690265485,2.0,1.0,4.0
kaggle_asaniczka,2024-01,mid-senior,tech_count,6263,2.8044068337857255,2.0,1.0,4.0
kaggle_asaniczka,2024-01,unknown,tech_count,4705,2.373007438894793,2.0,0.0,4.0
scraped,2026-03,associate,tech_count,11,4.818181818181818,6.0,3.0,6.0
scraped,2026-03,director,tech_count,30,4.1,4.5,1.0,6.0
scraped,2026-03,entry,tech_count,132,2.553030303030303,2.0,0.0,4.0
scraped,2026-03,mid-senior,tech_count,1284,3.5109034267912773,3.0,1.0,5.0
scraped,2026-03,unknown,tech_count,1135,2.829955947136564,2.0,1.0,4.0
scraped,2026-04,associate,tech_count,10,3.6,3.5,2.25,4.75
scraped,2026-04,director,tech_count,14,5.142857142857143,4.5,1.0,9.5
scraped,2026-04,entry,tech_count,57,2.3859649122807016,1.0,0.0,4.0
scraped,2026-04,mid-senior,tech_count,751,3.388814913448735,3.0,1.0,5.0
scraped,2026-04,unknown,tech_count,606,2.6996699669966997,2.0,0.0,4.0
kaggle_arshkon,2024-04,associate,ai_count,14,0.0,0.0,0.0,0.0
kaggle_arshkon,2024-04,director,ai_count,12,0.0,0.0,0.0,0.0
kaggle_arshkon,2024-04,entry,ai_count,162,0.1419753086419753,0.0,0.0,0.0
kaggle_arshkon,2024-04,mid-senior,ai_count,1859,0.13232920925228617,0.0,0.0,0.0
kaggle_arshkon,2024-04,unknown,ai_count,2138,0.09260991580916744,0.0,0.0,0.0
kaggle_asaniczka,2024-01,associate,ai_count,7,0.2857142857142857,0.0,0.0,0.0
kaggle_asaniczka,2024-01,director,ai_count,42,0.14285714285714285,0.0,0.0,0.0
kaggle_asaniczka,2024-01,entry,ai_count,113,0.10619469026548672,0.0,0.0,0.0
kaggle_asaniczka,2024-01,mid-senior,ai_count,6263,0.07664058757783809,0.0,0.0,0.0
kaggle_asaniczka,2024-01,unknown,ai_count,4705,0.08735387885228481,0.0,0.0,0.0
scraped,2026-03,associate,ai_count,11,0.18181818181818182,0.0,0.0,0.0
scraped,2026-03,director,ai_count,30,0.5333333333333333,0.0,0.0,0.75
scraped,2026-03,entry,ai_count,132,0.36363636363636365,0.0,0.0,0.0
scraped,2026-03,mid-senior,ai_count,1284,0.40498442367601245,0.0,0.0,0.0
scraped,2026-03,unknown,ai_count,1135,0.4422907488986784,0.0,0.0,0.0
scraped,2026-04,associate,ai_count,10,0.0,0.0,0.0,0.0
scraped,2026-04,director,ai_count,14,1.3571428571428572,0.0,0.0,2.75
scraped,2026-04,entry,ai_count,57,0.47368421052631576,0.0,0.0,1.0
scraped,2026-04,mid-senior,ai_count,751,0.4447403462050599,0.0,0.0,0.0
scraped,2026-04,unknown,ai_count,606,0.45544554455445546,0.0,0.0,0.0
kaggle_arshkon,2024-04,associate,soft_skill_count,14,0.35714285714285715,0.0,0.0,0.75
kaggle_arshkon,2024-04,director,soft_skill_count,12,0.4166666666666667,0.0,0.0,1.0
kaggle_arshkon,2024-04,entry,soft_skill_count,162,0.41975308641975306,0.0,0.0,1.0
kaggle_arshkon,2024-04,mid-senior,soft_skill_count,1859,0.3797740720817644,0.0,0.0,1.0
kaggle_arshkon,2024-04,unknown,soft_skill_count,2138,0.37418147801683815,0.0,0.0,1.0
kaggle_asaniczka,2024-01,associate,soft_skill_count,7,0.2857142857142857,0.0,0.0,0.5
kaggle_asaniczka,2024-01,director,soft_skill_count,42,0.3333333333333333,0.0,0.0,1.0
kaggle_asaniczka,2024-01,entry,soft_skill_count,113,0.2920353982300885,0.0,0.0,1.0
kaggle_asaniczka,2024-01,mid-senior,soft_skill_count,6263,0.3467986587897174,0.0,0.0,1.0
kaggle_asaniczka,2024-01,unknown,soft_skill_count,4705,0.3421891604675877,0.0,0.0,1.0
scraped,2026-03,associate,soft_skill_count,11,0.2727272727272727,0.0,0.0,0.5
scraped,2026-03,director,soft_skill_count,30,0.4666666666666667,0.0,0.0,1.0
scraped,2026-03,entry,soft_skill_count,132,0.5,0.0,0.0,1.0
scraped,2026-03,mid-senior,soft_skill_count,1284,0.35202492211838005,0.0,0.0,1.0
scraped,2026-03,unknown,soft_skill_count,1135,0.4105726872246696,0.0,0.0,1.0
scraped,2026-04,associate,soft_skill_count,10,0.4,0.0,0.0,1.0
scraped,2026-04,director,soft_skill_count,14,0.7857142857142857,1.0,0.0,1.0
scraped,2026-04,entry,soft_skill_count,57,0.543859649122807,0.0,0.0,1.0
scraped,2026-04,mid-senior,soft_skill_count,751,0.3821571238348868,0.0,0.0,1.0
scraped,2026-04,unknown,soft_skill_count,606,0.334983498349835,0.0,0.0,1.0
kaggle_arshkon,2024-04,associate,scope_count,14,0.2857142857142857,0.0,0.0,0.75
kaggle_arshkon,2024-04,director,scope_count,12,0.3333333333333333,0.0,0.0,0.25
kaggle_arshkon,2024-04,entry,scope_count,162,0.15432098765432098,0.0,0.0,0.0
kaggle_arshkon,2024-04,mid-senior,scope_count,1859,0.3399677245831092,0.0,0.0,1.0
kaggle_arshkon,2024-04,unknown,scope_count,2138,0.21796071094480823,0.0,0.0,0.0
kaggle_asaniczka,2024-01,associate,scope_count,7,0.2857142857142857,0.0,0.0,0.5
kaggle_asaniczka,2024-01,director,scope_count,42,0.21428571428571427,0.0,0.0,0.0
kaggle_asaniczka,2024-01,entry,scope_count,113,0.1504424778761062,0.0,0.0,0.0
kaggle_asaniczka,2024-01,mid-senior,scope_count,6263,0.2867635318537442,0.0,0.0,1.0
kaggle_asaniczka,2024-01,unknown,scope_count,4705,0.20170031880977685,0.0,0.0,0.0
scraped,2026-03,associate,scope_count,11,0.18181818181818182,0.0,0.0,0.0
scraped,2026-03,director,scope_count,30,0.5666666666666667,0.0,0.0,1.0
scraped,2026-03,entry,scope_count,132,0.3106060606060606,0.0,0.0,1.0
scraped,2026-03,mid-senior,scope_count,1284,0.6222741433021807,0.0,0.0,1.0
scraped,2026-03,unknown,scope_count,1135,0.5145374449339207,0.0,0.0,1.0
scraped,2026-04,associate,scope_count,10,0.4,0.0,0.0,1.0
scraped,2026-04,director,scope_count,14,0.8571428571428571,1.0,0.0,1.75
scraped,2026-04,entry,scope_count,57,0.42105263157894735,0.0,0.0,1.0
scraped,2026-04,mid-senior,scope_count,751,0.6018641810918774,0.0,0.0,1.0
scraped,2026-04,unknown,scope_count,606,0.41254125412541254,0.0,0.0,1.0
kaggle_arshkon,2024-04,associate,management_strong_count,14,0.21428571428571427,0.0,0.0,0.0
kaggle_arshkon,2024-04,director,management_strong_count,12,0.16666666666666666,0.0,0.0,0.0
kaggle_arshkon,2024-04,entry,management_strong_count,162,0.06790123456790123,0.0,0.0,0.0
kaggle_arshkon,2024-04,mid-senior,management_strong_count,1859,0.15438407746100055,0.0,0.0,0.0
kaggle_arshkon,2024-04,unknown,management_strong_count,2138,0.11225444340505145,0.0,0.0,0.0
kaggle_asaniczka,2024-01,associate,management_strong_count,7,0.2857142857142857,0.0,0.0,0.5
kaggle_asaniczka,2024-01,director,management_strong_count,42,0.09523809523809523,0.0,0.0,0.0
kaggle_asaniczka,2024-01,entry,management_strong_count,113,0.09734513274336283,0.0,0.0,0.0
kaggle_asaniczka,2024-01,mid-senior,management_strong_count,6263,0.13939006865719303,0.0,0.0,0.0
kaggle_asaniczka,2024-01,unknown,management_strong_count,4705,0.10201912858660998,0.0,0.0,0.0
scraped,2026-03,associate,management_strong_count,11,0.18181818181818182,0.0,0.0,0.0
scraped,2026-03,director,management_strong_count,30,0.23333333333333334,0.0,0.0,0.0
scraped,2026-03,entry,management_strong_count,132,0.11363636363636363,0.0,0.0,0.0
scraped,2026-03,mid-senior,management_strong_count,1284,0.1721183800623053,0.0,0.0,0.0
scraped,2026-03,unknown,management_strong_count,1135,0.09251101321585903,0.0,0.0,0.0
scraped,2026-04,associate,management_strong_count,10,0.0,0.0,0.0,0.0
scraped,2026-04,director,management_strong_count,14,0.14285714285714285,0.0,0.0,0.0
scraped,2026-04,entry,management_strong_count,57,0.21052631578947367,0.0,0.0,0.0
scraped,2026-04,mid-senior,management_strong_count,751,0.1318242343541944,0.0,0.0,0.0
scraped,2026-04,unknown,management_strong_count,606,0.0858085808580858,0.0,0.0,0.0
kaggle_arshkon,2024-04,associate,management_broad_count,14,0.2857142857142857,0.0,0.0,0.0
kaggle_arshkon,2024-04,director,management_broad_count,12,1.0,1.0,0.75,1.25
kaggle_arshkon,2024-04,entry,management_broad_count,162,0.5,0.0,0.0,1.0
kaggle_arshkon,2024-04,mid-senior,management_broad_count,1859,0.671866594943518,0.0,0.0,1.0
kaggle_arshkon,2024-04,unknown,management_broad_count,2138,0.47988774555659497,0.0,0.0,1.0
kaggle_asaniczka,2024-01,associate,management_broad_count,7,0.0,0.0,0.0,0.0
