source,period,n,mean_core_len,share_has_core_section,mean_core_share,mean_boilerplate_share
kaggle_arshkon,2024-04,4458,1982.8400628084344,0.015926424405563033,0.015348505350495544,0.0012952547980845828
kaggle_asaniczka,2024-01,11272,2294.4808374733852,0.04693044712562101,0.043176641865009364,0.0015419293206096695
scraped,2026-03,3497,2623.3357163282813,0.6033743208464398,0.3717496333822528,0.0060997200931690535
scraped,2026-04,1855,2696.5045822102425,0.6242587601078167,0.37439523186682855,0.005204235322957013
