company_name_canonical,year,n_posts,llm_text_share,entry_final_share,entry_yoe_share,ai_any_share,ai_count_mean,scope_any_share,scope_count_mean,soft_skill_any_share,soft_skill_count_mean,clean_len_mean,tech_count_mean,requirement_breadth_mean,stack_depth_mean,ai_domain_share,remote_share,domain_entropy,top_domain_family,top_domain_share,company_industry_mode
"1-800-FLOWERS.COM, INC.",2026,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,484.0,5.0,8.0,3.0,0.0,0.0,0.0,Frontend / Mobile,1.0,Retail
10x Genomics,2026,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1821.0,1.0,4.0,4.0,0.0,0.0,0.0,DevOps,1.0,Biotechnology Research
10x Science (YC W26),2026,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2503.5,3.0,3.0,1.0,0.0,0.0,0.0,Requirements / Workflow,1.0,"Technology, Information and Internet"
11x,2026,2,0.0,0.0,0.0,0.5,0.5,1.0,2.0,0.5,0.5,871.5,3.5,7.5,4.0,0.5,0.0,1.0,AI / LLM,0.5,Software Development
1406 Consulting,2026,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,857.0,2.0,5.0,4.0,0.0,0.0,0.0,Requirements / Workflow,1.0,Marketing Services
1872 Consulting,2026,1,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1418.0,8.0,11.0,2.0,1.0,0.0,0.0,AI / LLM,1.0,IT Services and IT Consulting and Construction
1998 Ventures Inc.,2026,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,838.0,0.0,2.0,2.0,0.0,0.0,0.0,Requirements / Workflow,1.0,Mobile Computing Software Products
1Finity,2026,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2137.0,4.0,6.0,3.0,0.0,0.0,0.0,DevOps,1.0,Telecommunications
1Sphere AI,2026,2,0.0,0.0,0.5,1.0,1.0,0.5,0.5,0.0,0.0,1467.0,2.5,4.5,3.0,0.5,0.0,1.0,Requirements / Workflow,0.5,"Technology, Information and Internet"
1stDibs,2026,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1496.0,4.0,5.0,2.0,0.0,0.0,0.0,Requirements / Workflow,1.0,"Technology, Information and Internet"
2020 Companies,2026,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1069.0,2.0,4.0,3.0,0.0,0.0,0.0,Requirements / Workflow,1.0,Advertising Services
23andMe,2026,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1397.0,2.0,4.0,3.0,0.0,0.0,0.0,Requirements / Workflow,1.0,Non-profit Organizations
24-MAG,2026,11,0.2727272727272727,0.0,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.0,0.0,1018.1818181818181,2.6363636363636362,3.090909090909091,1.3636363636363635,0.2727272727272727,0.0,0.9314001250982628,Requirements / Workflow,0.2727272727272727,Business Consulting and Services
2HB Incorporated,2026,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1181.0,13.0,14.0,2.0,0.0,0.0,0.0,DevOps,1.0,IT Services and IT Consulting
2K,2026,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1463.0,4.5,5.0,1.5,0.0,0.0,1.0,Requirements / Workflow,0.5,Computer Games
2K Vegas,2026,4,0.25,0.0,0.0,1.0,1.0,1.0,1.75,0.25,0.25,1808.75,6.0,10.0,4.25,0.0,0.0,1.0,Requirements / Workflow,0.5,Computer Games
360 Privacy,2026,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1140.0,6.0,7.0,2.0,0.0,0.0,0.0,DevOps,1.0,Computer and Network Security
