panel,companies,companies_ge5,rows_2024,rows_2026,llm_text_share_2024,llm_text_share_2026
primary_overlap_ge3,237,122,1775,10563,0.9952682338758289,0.1403543062336644
no_aggregator_overlap_ge3,205,99,1375,8680,0.9945296167247387,0.13856383954734292
cap25_overlap_ge3,237,130,1673,3841,0.9952682338758289,0.14734855299478458
pooled_2024_overlap_ge3,572,323,9888,15182,0.9153181695882497,0.14900742328884553
llm_only_overlap_ge3,113,71,4679,5966,1.0,1.0
