spec,metric,left_group,right_group,left_value,right_value,delta,left_n,right_n,left_llm_text_n,right_llm_text_n,primary_pooled_delta,effect_size_change_vs_primary,direction_flip_vs_primary,material_sensitivity_vs_primary
primary_pooled,j1_entry_share,2024,2026,0.01660823838737949,0.031188082483305204,0.014579844095925713,22820,40881,21724.0,12534.0,0.014579844095925713,0.0,False,False
primary_pooled,j3_low_yoe_share,2024,2026,0.11216259129882503,0.17192995177839818,0.05976736047957315,22820,40881,21724.0,12534.0,0.05976736047957315,0.0,False,False
primary_pooled,broad_ai_share,2024,2026,0.037510955302366346,0.23695604314962943,0.1994450878472631,22820,40881,21724.0,12534.0,0.1994450878472631,0.0,False,False
primary_pooled,ai_tool_strict_share,2024,2026,0.020552147239263803,0.20192754580367409,0.1813753985644103,22820,40881,21724.0,12534.0,0.1813753985644103,0.0,False,False
primary_pooled,raw_description_length_mean,2024,2026,3763.080806310254,4912.017049485091,1148.9362431748368,22820,40881,21724.0,12534.0,1148.9362431748368,0.0,False,False
primary_pooled,tech_count_mean,2024,2026,5.198816827344435,7.261221594383699,2.062404767039264,22820,40881,21724.0,12534.0,2.062404767039264,0.0,False,False
primary_pooled,platform_tech_count_mean,2024,2026,1.8059158632778265,2.5150803551772216,0.7091644918993951,22820,40881,21724.0,12534.0,0.7091644918993951,0.0,False,False
primary_pooled,requirement_breadth_mean_llm,2024,2026,7.229147486650709,9.386628370831339,2.1574808841806297,22820,40881,21724.0,12534.0,2.1574808841806297,0.0,False,False
primary_pooled,org_scope_count_mean_llm,2024,2026,0.5664702633032591,0.8634115206637945,0.29694125736053534,22820,40881,21724.0,12534.0,0.29694125736053534,0.0,False,False
aggregator_excluded_pooled,j1_entry_share,2024,2026,0.018100478222862138,0.03177723658343359,0.013676758360571448,19447,34081,18618.0,10393.0,0.014579844095925713,0.06194069905086497,False,False
aggregator_excluded_pooled,j3_low_yoe_share,2024,2026,0.11892611493232749,0.1784675072744908,0.059541392342163296,19447,34081,18618.0,10393.0,0.05976736047957315,0.003780794995741598,False,False
aggregator_excluded_pooled,broad_ai_share,2024,2026,0.037692189026585075,0.24268654088788474,0.20499435186129966,19447,34081,18618.0,10393.0,0.1994450878472631,0.027823518111843668,False,False
aggregator_excluded_pooled,ai_tool_strict_share,2024,2026,0.0205173034401193,0.2063026319650245,0.1857853285249052,19447,34081,18618.0,10393.0,0.1813753985644103,0.024313826436217875,False,False
aggregator_excluded_pooled,raw_description_length_mean,2024,2026,3707.145677996606,5112.935506587248,1405.7898285906417,19447,34081,18618.0,10393.0,1148.9362431748368,0.22355773607249568,False,False
aggregator_excluded_pooled,tech_count_mean,2024,2026,5.012906875096416,7.226548516768874,2.2136416416724582,19447,34081,18618.0,10393.0,2.062404767039264,0.07333035544245084,False,False
aggregator_excluded_pooled,platform_tech_count_mean,2024,2026,1.7092096467321438,2.486957542325636,0.777747895593492,19447,34081,18618.0,10393.0,0.7091644918993951,0.09671014902396775,False,False
aggregator_excluded_pooled,requirement_breadth_mean_llm,2024,2026,7.104146524868407,9.397382853843933,2.293236328975526,19447,34081,18618.0,10393.0,2.1574808841806297,0.06292312751890447,False,False
aggregator_excluded_pooled,org_scope_count_mean_llm,2024,2026,0.5910946395960898,0.8929086885403638,0.301814048944274,19447,34081,18618.0,10393.0,0.29694125736053534,0.016409951338699588,False,False
swe_tier_exclude_title_lookup_pooled,j1_entry_share,2024,2026,0.017209256717003334,0.031739063064924335,0.014529806347921,20396,38722,19421.0,11895.0,0.014579844095925713,0.0034319810057979907,False,False
swe_tier_exclude_title_lookup_pooled,j3_low_yoe_share,2024,2026,0.11140282409706946,0.1713990904574464,0.05999626636037693,20396,38722,19421.0,11895.0,0.05976736047957315,0.0038299479677040846,False,False
