source_group,period_group,is_aggregator,postings,companies,yoe_known_n,llm_text_n,j1_entry_share,j3_low_yoe_share,broad_ai_share,ai_tool_strict_share,raw_description_length_mean,tech_count_mean,platform_tech_count_mean,requirement_breadth_mean_llm
arshkon,2024,False,4261,2235,2667,4257,0.03848861769537667,0.15523059617547807,0.0492842055855433,0.031213330204177422,3358.6421027927718,5.327622623797231,1.865524524759446,7.410382898754992
arshkon,2024,True,430,74,244,430,0.02558139534883721,0.09016393442622951,0.037209302325581395,0.023255813953488372,2780.446511627907,5.097674418604651,1.7813953488372094,6.765116279069767
asaniczka,2024,False,15186,4814,10854,14361,0.01237982352166469,0.11000552791597568,0.03443961543526933,0.017516133280653233,3804.93138416963,4.924601606743053,1.665349664164362,7.013369542510967
asaniczka,2024,True,2943,187,1980,2676,0.0054366292898402994,0.06868686868686869,0.036357458375807,0.020387359836901122,4276.265715256541,6.4420659191301395,2.4485219164118246,8.17339312406577
scraped_2026,2026,False,34081,7241,23713,10393,0.03177723658343359,0.1784675072744908,0.24268654088788474,0.2063026319650245,5112.935506587248,7.226548516768874,2.486957542325636,9.397382853843933
scraped_2026,2026,True,6800,988,3868,2141,0.02823529411764706,0.13185108583247157,0.20823529411764705,0.18,3905.031470588235,7.435,2.656029411764706,9.334423166744513
