company_name_canonical,postings,industry_sample,aggregator_share,j1_entry_share,j3_low_yoe_share,broad_ai_share,ai_tool_strict_share,tech_count_mean,platform_tech_count_mean,llm_text_n,requirement_breadth_mean_llm,top_archetype,top_archetype_labeled_n
Jobs via Dice,1711,"Software Development, Architecture and Planning, and Construction",1.0,0.02396259497369959,0.19923371647509577,0.16832261835184104,0.13909994155464642,7.309760374050263,2.737580362361192,650,9.143076923076922,Defense Clearance Systems,144
Haystack,232,"Technology, Information and Media",0.0,0.021551724137931036,0.14835164835164835,0.1206896551724138,0.11206896551724138,4.978448275862069,1.8577586206896552,103,7.038834951456311,Cloud DevOps Infrastructure,21
PayPal,137,"Software Development, Financial Services, and Technology, Information and Internet",0.0,0.014598540145985401,0.1386861313868613,0.23357664233576642,0.12408759124087591,6.37956204379562,1.9562043795620438,44,9.318181818181818,Enterprise Application Support,17
Akkodis Group Nordics,134,IT Services and IT Consulting,0.0,0.007462686567164179,0.02666666666666667,0.1417910447761194,0.11940298507462686,5.201492537313433,1.9104477611940298,38,6.342105263157895,Cloud DevOps Infrastructure,15
TalentAlly,126,"Technology, Information and Media",1.0,0.0,0.1346153846153846,0.25396825396825395,0.2222222222222222,8.15079365079365,2.8968253968253967,35,10.0,Enterprise Application Support,13
PNC,108,Financial Services,0.0,0.009259259259259259,0.05263157894736842,0.037037037037037035,0.037037037037037035,6.564814814814815,2.6481481481481484,31,8.419354838709678,Enterprise Application Support,20
Alignerr,96,"Technology, Information and Internet",0.0,0.0,0.02702702702702703,0.1875,0.1875,2.8541666666666665,0.20833333333333334,52,3.7115384615384617,AI LLM Platforms,49
TikTok USDS Joint Venture,94,"Technology, Information and Internet",0.0,0.06382978723404255,0.36363636363636365,0.4148936170212766,0.2872340425531915,5.617021276595745,1.1914893617021276,30,6.166666666666667,AI LLM Platforms,13
NTT DATA North America,88,IT Services and IT Consulting,0.0,0.0,0.01282051282051282,0.26136363636363635,0.20454545454545456,9.409090909090908,4.2727272727272725,26,10.576923076923077,Cloud DevOps Infrastructure,13
Andiamo,81,Staffing and Recruiting,0.0,0.0,0.1206896551724138,0.14814814814814814,0.1111111111111111,8.246913580246913,2.6666666666666665,16,9.6875,Product Backend Engineering,10
Anthropic,77,Research Services,0.0,0.0,0.0,0.7922077922077922,0.7532467532467533,5.792207792207792,1.4935064935064934,40,7.3,Product Backend Engineering,24
PTR Global,76,Software Development,0.2631578947368421,0.0,0.17777777777777778,0.21052631578947367,0.13157894736842105,7.223684210526316,2.039473684210526,19,10.68421052631579,Java Dotnet Web Services,7
Microsoft AI,75,Software Development,0.0,0.0,0.2465753424657534,0.5066666666666667,0.49333333333333335,8.626666666666667,1.4133333333333333,23,11.26086956521739,AI LLM Platforms,9
"Akina, Inc",64,Software Development,0.0,0.015625,0.0,0.171875,0.046875,7.90625,3.125,26,11.73076923076923,Defense Clearance Systems,13
Jack & Jill,62,"Technology, Information and Internet",0.0,0.0,0.20689655172413793,0.8225806451612904,0.8225806451612904,4.032258064516129,0.5161290322580645,19,3.736842105263158,AI LLM Platforms,11
Lensa,60,Software Development,1.0,0.21666666666666667,0.39473684210526316,0.1,0.08333333333333333,6.0,2.1166666666666667,27,7.703703703703703,Java Dotnet Web Services,8
BNY,55,Financial Services,0.0,0.0,0.05,0.2727272727272727,0.2727272727272727,9.89090909090909,3.5090909090909093,10,15.0,Java Dotnet Web Services,6
CoreWeave,51,"Technology, Information and Internet",0.0,0.0,0.07692307692307693,0.3333333333333333,0.21568627450980393,7.254901960784314,2.9411764705882355,17,10.235294117647058,Embedded Firmware Systems,8
Inside Higher Ed,51,Online Audio and Video Media,0.0,0.0392156862745098,0.13513513513513514,0.1568627450980392,0.09803921568627451,6.176470588235294,2.4901960784313726,21,9.523809523809524,Enterprise Application Support,11
Charles Schwab,50,IT Services and IT Consulting,0.02,0.0,0.045454545454545456,0.18,0.14,10.98,4.2,15,13.8,Java Dotnet Web Services,6
Erias Ventures,45,IT Services and IT Consulting,0.0,0.0,0.25,0.044444444444444446,0.022222222222222223,6.4,2.7777777777777777,14,5.785714285714286,Defense Clearance Systems,13
