source_group,period_group,eligible_n,companies,missing_company_n,aggregator_n,yoe_known_n,llm_labeled_text_n,archetype_labeled_n,broad_ai_share,ai_tool_strict_share,tech_count_mean,llm_labeled_text_share
arshkon,2024,4691,2298,45,430,2911,4687,4575,0.048177360903858456,0.030483905350671497,5.306544446813046,0.9991473033468343
asaniczka,2024,18129,4948,0,2943,12834,17037,16786,0.0347509515141486,0.017982238402559435,5.170941585305312,0.9397650173754758
scraped_2026,2026,40881,7940,0,6800,27581,12534,12380,0.23695604314962943,0.20192754580367409,7.261221594383699,0.30659719674176267
