source_group,archetype_name,labeled_n,companies,j1_entry_share,j3_low_yoe_share,broad_ai_share,ai_tool_strict_share,requirement_breadth_mean_llm,tech_count_mean
arshkon,AI LLM Platforms,77,47,0.025974025974025976,0.14893617021276595,0.5974025974025974,0.38961038961038963,6.883116883116883,4.805194805194805
scraped_2026,AI LLM Platforms,547,136,0.07312614259597806,0.20107238605898123,0.7989031078610603,0.6873857404021938,10.659963436928702,8.142595978062158
arshkon,Cloud DevOps Infrastructure,278,120,0.01079136690647482,0.06040268456375839,0.014388489208633094,0.007194244604316547,9.16546762589928,7.517985611510792
scraped_2026,Cloud DevOps Infrastructure,490,135,0.006122448979591836,0.07580174927113703,0.09795918367346938,0.061224489795918366,12.095918367346938,9.757142857142858
arshkon,Defense Clearance Systems,129,39,0.06201550387596899,0.1782178217821782,0.007751937984496124,0.007751937984496124,5.937984496124031,3.852713178294574
scraped_2026,Defense Clearance Systems,321,32,0.040498442367601244,0.25769230769230766,0.0529595015576324,0.03426791277258567,8.672897196261681,6.554517133956386
arshkon,Embedded Firmware Systems,112,61,0.017857142857142856,0.17105263157894737,0.017857142857142856,0.0,5.0,3.375
scraped_2026,Embedded Firmware Systems,344,61,0.029069767441860465,0.2037037037037037,0.061046511627906974,0.046511627906976744,6.1686046511627906,4.063953488372093
arshkon,Enterprise Application Support,472,161,0.036016949152542374,0.15644171779141106,0.006355932203389831,0.00211864406779661,5.758474576271187,3.51271186440678
scraped_2026,Enterprise Application Support,566,118,0.04770318021201413,0.20512820512820512,0.09010600706713781,0.08480565371024736,6.927561837455831,4.268551236749117
arshkon,Java Dotnet Web Services,453,164,0.04415011037527594,0.09929078014184398,0.008830022075055188,0.006622516556291391,9.150110375275938,7.496688741721854
scraped_2026,Java Dotnet Web Services,457,132,0.03938730853391685,0.14285714285714285,0.0962800875273523,0.08971553610503283,12.719912472647703,10.507658643326039
arshkon,Large Employer Data Platforms,115,33,0.017391304347826087,0.28865979381443296,0.02608695652173913,0.008695652173913044,9.660869565217391,7.643478260869565
scraped_2026,Large Employer Data Platforms,389,27,0.13110539845758354,0.4006024096385542,0.2133676092544987,0.18251928020565553,7.946015424164524,5.380462724935732
arshkon,Product Backend Engineering,112,45,0.03571428571428571,0.12857142857142856,0.03571428571428571,0.017857142857142856,6.142857142857143,4.160714285714286
scraped_2026,Product Backend Engineering,294,67,0.047619047619047616,0.19617224880382775,0.1564625850340136,0.13945578231292516,7.826530612244898,5.003401360544218
