source,period,n,companies,median_chars,mean_chars
kaggle_arshkon,2024-04,4558,2298,610.0,660.3236068451075
scraped,2026-03,3615,1753,793.0,846.6774550484095
scraped,2026-04,1897,1077,796.0,861.5276752767528
