source,period,text_source,n
kaggle_arshkon,2024-04,llm,4679
kaggle_arshkon,2024-04,raw,12
kaggle_asaniczka,2024-01,llm,15574
kaggle_asaniczka,2024-01,raw,2555
scraped,2026-03,llm,3979
scraped,2026-03,raw,15817
scraped,2026-04,llm,1987
scraped,2026-04,raw,15369
