title_normalized,n_2024,n_2026,cosine_similarity
system engineer,223,46,0.7479486851426651
test engineer,237,90,0.7742036931827134
full stack engineer,129,129,0.7779865028910781
java developer,233,42,0.7890064601947444
software developer,243,75,0.7975291425806081
embedded software engineer,189,103,0.8258487168187767
systems engineer,590,74,0.8416363484339351
data engineer,585,366,0.8509979129562875
devops engineer,200,189,0.8643521174864922
software engineer,1711,1213,0.9109789536664743
