theme,n_new_titles,postings_2026
other,5523,7186
ai_ml_engineering,3142,4079
platform_infra,2746,3425
embedded_systems,1284,1570
fullstack,1122,1386
data_eng_analytics,1016,1250
frontend,883,1031
backend,553,672
mobile,490,630
security,231,308
qa_test,212,288
game_dev,20,23
blockchain,13,17
