marker,regex,share_2024,share_2026,delta_pp
staff,\bstaff\b,0.027212971078001753,0.0577774516278956,3.056448054989384
mid_ii_iii,\b(ii|iii|mid[- ]level|mid)\b,0.04723926380368098,0.05900051368606443,1.1761249882383453
associate,\bassociate\b,0.0047765118317265555,0.007509601037156625,0.273308920543007
junior,\bjunior\b|\bjr\.?\b,0.006047326906222612,0.008341283236711431,0.22939563304888191
entry_level,\bentry[- ]level\b|\bentry\b,0.0007449605609114811,0.002446124116337663,0.1701163555426182
director,\bdirector\b,0.0006134969325153375,0.0015655194344561044,0.09520225019407669
head_of,\bhead of\b,4.3821209465381244e-05,0.0,-0.0043821209465381246
manager,\bmanager\b|\bmgr\.?\b,0.013146362839614373,0.005919620361537144,-0.7226742478077228
principal,\bprincipal\b,0.05236634531113059,0.03656955553924806,-1.579678977188253
architect,\barchitect\b,0.019544259421560035,0.0036691861745064944,-1.5875073247053542
lead,\blead\b,0.092988606485539,0.06076172304982755,-3.222688343571145
senior,\bsenior\b|\bsr\.?\b,0.4170902716914987,0.28952325040972576,-12.756702128177293
