spec,metric,mean_abs_diff,max_abs_diff,direction_match_share
no_aggregator,entry_final_share,0.004567829866703004,0.012359680385985061,1.0
no_aggregator,entry_yoe_share,0.010462796076302227,0.02634627937255901,0.8888888888888888
no_aggregator,ai_any_share,0.007037386546890785,0.017950592811140476,1.0
no_aggregator,scope_any_share,0.01632842326246231,0.07324411113448953,1.0
no_aggregator,clean_len_mean,41.55158297942605,95.00586395414928,1.0
no_aggregator,tech_count_mean,0.10103875911728391,0.3037330385438364,1.0
no_aggregator,ai_domain_share,0.005950148360008722,0.029201974635316194,1.0
company_cap_25,entry_final_share,0.002415706482021041,0.008250898043360502,1.0
company_cap_25,entry_yoe_share,0.015004989727594086,0.08567813646566724,0.9444444444444444
company_cap_25,ai_any_share,0.0048794937397659425,0.01672707852710484,1.0
company_cap_25,scope_any_share,0.008470076828186054,0.02021896453273664,1.0
company_cap_25,clean_len_mean,32.11756831626414,92.53053323450126,1.0
company_cap_25,tech_count_mean,0.08082113201551813,0.444818397353262,1.0
company_cap_25,ai_domain_share,0.005832578556467718,0.020605494210107572,1.0
