source,native_mapped,imputed,n
kaggle_arshkon,associate,associate,7
kaggle_arshkon,associate,entry,11
kaggle_arshkon,associate,mid-senior,68
kaggle_arshkon,director,director,4
kaggle_arshkon,director,mid-senior,20
kaggle_arshkon,entry,associate,29
kaggle_arshkon,entry,entry,40
kaggle_arshkon,entry,mid-senior,66
kaggle_arshkon,mid-senior,associate,7
kaggle_arshkon,mid-senior,director,4
kaggle_arshkon,mid-senior,entry,10
kaggle_arshkon,mid-senior,mid-senior,1295
kaggle_asaniczka,associate,associate,108
kaggle_asaniczka,associate,entry,35
kaggle_asaniczka,associate,mid-senior,569
kaggle_asaniczka,mid-senior,associate,50
kaggle_asaniczka,mid-senior,director,86
kaggle_asaniczka,mid-senior,entry,89
kaggle_asaniczka,mid-senior,mid-senior,14349
scraped,associate,associate,7
scraped,associate,entry,4
scraped,associate,mid-senior,65
scraped,director,director,8
scraped,director,mid-senior,37
scraped,entry,associate,36
scraped,entry,entry,117
scraped,entry,mid-senior,39
scraped,mid-senior,associate,13
scraped,mid-senior,director,8
scraped,mid-senior,entry,6
scraped,mid-senior,mid-senior,1567
