native_mapped,associate,director,entry,mid-senior,unknown
associate,122.0,,50.0,702.0,1333.0
director,,12.0,,57.0,11.0
entry,65.0,,157.0,105.0,928.0
mid-senior,70.0,98.0,105.0,17211.0,7218.0
