variant,period,entry_share_pct,n_total,n_entry
A: seniority_final,2024-01,0.81,15286,124
A: seniority_final,2024-04,4.42,2015,89
A: seniority_final,2026-03,5.65,2336,132
B: seniority_native,2024-01,0.0,21626,0
B: seniority_native,2024-04,22.91,3099,710
B: seniority_native,2026-03,15.49,3519,545
C: high-confidence,2024-01,0.88,13801,121
C: high-confidence,2024-04,5.06,1720,87
C: high-confidence,2026-03,6.67,1950,130
E: native backfill fix,2024-01,0.57,21626,124
E: native backfill fix,2024-04,18.69,3553,664
E: native backfill fix,2026-03,12.28,3948,485
