year,n,tech_count,soft_count,scope_count,edu_level,mgmt_strong_any,mgmt_broad_any,ai_mention,requirement_breadth,credential_stack_depth,tech_density,scope_density
2024,17749,6.0319,2.4128,1.0333,1.5104,0.4901,0.8353,0.1045,11.7203,4.591,4.0402,0.5266
2026,21709,8.775,3.1348,1.9663,1.3867,0.6732,0.9241,0.4695,16.4835,5.3247,3.456,0.6467
