year,credential_stack_depth,n,share
2024,0,116,0.0041
2024,1,645,0.0228
2024,2,1438,0.0509
2024,3,3095,0.1096
2024,4,5327,0.1887
2024,5,9173,0.3249
2024,6,7376,0.2613
2024,7,1062,0.0376
2026,0,26,0.0007
2026,1,180,0.0051
2026,2,519,0.0148
2026,3,1503,0.0429
2026,4,4201,0.1198
2026,5,9090,0.2593
2026,6,12343,0.352
2026,7,7200,0.2054
