company_name_canonical,year,n_posts,llm_text_share,entry_final_share,entry_yoe_share,ai_any_share,ai_count_mean,scope_any_share,scope_count_mean,soft_skill_any_share,soft_skill_count_mean,clean_len_mean,tech_count_mean,requirement_breadth_mean,stack_depth_mean,ai_domain_share,remote_share,domain_entropy,top_domain_family,top_domain_share,company_industry_mode
AMERICAN SYSTEMS,2024,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,816.0,3.0,4.666666666666667,2.6666666666666665,0.0,0.0,0.9182958340544894,Requirements / Workflow,0.6666666666666666,IT Services and IT Consulting
AMERICAN SYSTEMS,2026,6,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,1154.8333333333333,2.3333333333333335,3.6666666666666665,1.8333333333333333,0.0,0.0,0.9206198357143047,Requirements / Workflow,0.5,IT Services and IT Consulting
AT&T,2024,8,1.0,0.0,0.0,0.0,0.0,0.375,0.375,0.0,0.0,1008.25,7.125,8.625,2.375,0.0,0.0,0.8868595071429147,Frontend / Mobile,0.5,Wireless Services
AT&T,2026,20,0.1,0.0,0.0,0.3,0.55,0.4,0.55,0.55,0.85,2148.0,8.05,10.9,2.9,0.1,0.0,0.8515489561291621,Requirements / Workflow,0.45,"Wireless Services, IT Services and IT Consulting, and Telecommunications"
AVEVA,2024,5,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.8,0.8,745.2,2.8,4.6,2.4,0.0,0.0,0.9602297178607612,Requirements / Workflow,0.4,Software Development
AVEVA,2026,4,0.5,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,1700.5,4.75,5.75,2.0,0.0,0.0,0.0,Requirements / Workflow,1.0,Software Development
Ace Technologies,2024,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,649.6666666666666,1.6666666666666667,2.3333333333333335,1.0,0.0,0.0,0.9182958340544894,Requirements / Workflow,0.6666666666666666,IT Services and IT Consulting
Ace Technologies,2026,4,0.75,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,937.5,2.5,4.0,2.5,0.0,0.0,0.946394630357186,Requirements / Workflow,0.5,Software Development
Actalent,2024,23,1.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.17391304347826086,0.17391304347826086,594.2608695652174,0.8695652173913043,1.9565217391304348,1.6521739130434783,0.0,0.0,0.7708446124200048,Requirements / Workflow,0.4782608695652174,Business Consulting and Services
Actalent,2026,25,0.44,0.04,0.12,0.0,0.0,0.32,0.32,0.4,0.44,1226.4,1.44,2.92,2.04,0.0,0.0,0.8334104287181178,Embedded,0.48,Business Consulting and Services
Aditi Consulting,2024,8,1.0,0.0,0.0,0.0,0.0,0.25,0.375,0.375,0.375,419.625,2.0,3.375,2.0,0.0,0.0,0.5435644431995964,Requirements / Workflow,0.875,IT Services and IT Consulting
Aditi Consulting,2026,25,0.12,0.0,0.12,0.04,0.04,0.44,0.64,0.36,0.4,1632.16,2.56,4.36,2.32,0.04,0.0,0.6167153129661289,Requirements / Workflow,0.68,IT Services and IT Consulting
Adobe,2024,9,1.0,0.2222222222222222,0.0,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.8888888888888888,542.7777777777778,2.888888888888889,4.666666666666667,2.3333333333333335,0.4444444444444444,0.0,0.886682880001534,AI / LLM,0.4444444444444444,Advertising Services
Adobe,2026,25,0.24,0.08,0.0,0.28,0.52,0.44,0.56,0.48,0.76,1780.52,5.44,8.04,2.96,0.32,0.0,0.7765417858540695,Requirements / Workflow,0.48,"Advertising Services, IT Services and IT Consulting, and Software Development"
Agility Partners,2024,4,1.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,409.5,1.0,2.0,1.75,0.0,0.0,0.8112781244591328,Requirements / Workflow,0.75,Banking
Agility Partners,2026,5,0.0,0.0,0.2,0.0,0.0,0.8,0.8,0.2,0.2,509.6,3.0,4.6,2.6,0.0,0.0,1.0000000000000002,Data / Platform,0.2,IT Services and IT Consulting
Akamai Technologies,2024,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507.6666666666667,0.6666666666666666,1.3333333333333333,1.0,0.0,0.0,0.9182958340544894,DevOps,0.6666666666666666,Computer Networking Products
Akamai Technologies,2026,25,0.08,0.0,0.12,0.16,0.28,0.4,0.4,0.12,0.16,1543.52,4.0,5.88,2.68,0.2,0.0,0.8606199195737619,Requirements / Workflow,0.36,"Technology, Information and Internet"
Akkodis,2024,25,1.0,0.08,0.04,0.0,0.0,0.12,0.12,0.28,0.36,571.36,3.4,4.52,1.8,0.04,0.0,0.9357312041789014,Requirements / Workflow,0.28,IT Services and IT Consulting
Akkodis,2026,25,0.16,0.0,0.0,0.12,0.2,0.32,0.36,0.28,0.32,1260.16,3.2,4.6,2.12,0.08,0.0,0.8861634674403382,Requirements / Workflow,0.4,IT Services and IT Consulting
AllSTEM Connections,2024,6,1.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.8333333333333334,1297.5,5.0,7.166666666666667,3.0,0.0,0.0,1.0,Requirements / Workflow,0.5,Manufacturing
AllSTEM Connections,2026,7,0.2857142857142857,0.0,0.14285714285714285,0.0,0.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,1436.0,2.5714285714285716,5.142857142857143,3.4285714285714284,0.0,0.0,0.8699155297736259,Embedded,0.5714285714285714,"Appliances, Electrical, and Electronics Manufacturing"
Amazon,2024,25,1.0,0.16,0.32,0.12,0.12,0.2,0.24,0.04,0.04,355.28,1.72,3.12,1.88,0.0,0.0,0.6599979193735108,Embedded,0.68,Software Development
Amazon,2026,25,0.12,0.08,0.08,0.04,0.04,0.44,0.68,0.24,0.24,1496.08,1.08,3.0,2.08,0.04,0.0,0.685282216451617,Embedded,0.56,Software Development
Amazon Web Services (AWS),2024,12,1.0,0.0,0.16666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,496.8333333333333,2.5,3.75,2.1666666666666665,0.0,0.0,0.6500224216483541,Embedded,0.8333333333333334,IT Services and IT Consulting
Amazon Web Services (AWS),2026,25,0.2,0.0,0.16,0.32,0.32,0.6,0.88,0.08,0.08,1968.76,2.6,4.88,2.92,0.24,0.0,0.6887942980482866,Embedded,0.6,IT Services and IT Consulting
American Express,2024,6,1.0,0.0,0.16666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,784.8333333333334,4.333333333333333,5.333333333333333,2.0,0.0,0.0,0.8962406251802889,Requirements / Workflow,0.5,Financial Services
American Express,2026,18,0.2222222222222222,0.0,0.16666666666666666,0.5,0.9444444444444444,0.6111111111111112,0.8333333333333334,0.4444444444444444,0.5555555555555556,2450.3888888888887,9.055555555555555,12.055555555555555,3.2222222222222223,0.5,0.0,0.7956176024115137,AI / LLM,0.5,Financial Services
"American Unit, Inc",2024,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,710.625,2.75,3.625,1.5,0.0,0.0,0.8194483718728035,Requirements / Workflow,0.625,Information Technology & Services
"American Unit, Inc",2026,6,0.0,0.0,0.0,0.3333333333333333,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,758.5,3.8333333333333335,5.666666666666667,2.3333333333333335,0.16666666666666666,0.0,0.9591479170272447,Data / Platform,0.3333333333333333,Information Technology & Services
Ampstek,2024,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.5,2.6666666666666665,3.5,1.6666666666666667,0.0,0.0,0.9206198357143047,Embedded,0.5,IT Services and IT Consulting
Ampstek,2026,25,0.16,0.0,0.0,0.12,0.12,0.12,0.2,0.12,0.12,450.52,3.68,4.48,1.6,0.08,0.0,0.8682214679286302,DevOps,0.32,IT Services and IT Consulting
Amtex Systems Inc.,2024,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.4,2.0,2.4,1.4,0.0,0.0,0.9609640474436812,Frontend / Mobile,0.4,IT Services and IT Consulting
Amtex Systems Inc.,2026,18,0.1111111111111111,0.0,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.2777777777777778,0.4444444444444444,0.05555555555555555,0.05555555555555555,545.3333333333334,4.333333333333333,5.555555555555555,2.0555555555555554,0.1111111111111111,0.0,0.8763576394898526,Requirements / Workflow,0.4444444444444444,IT Services and IT Consulting
Anduril Industries,2024,4,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1023.25,3.5,5.75,3.25,0.0,0.0,0.0,Requirements / Workflow,1.0,Defense and Space Manufacturing
Anduril Industries,2026,25,0.28,0.0,0.04,0.24,0.24,0.4,0.44,0.2,0.2,1871.72,2.56,3.8,2.04,0.0,0.0,0.6442544780072551,Requirements / Workflow,0.72,Defense and Space Manufacturing
